" Copy","Copiar"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique na seguinte ligação para cancelar a sua subscrição <!-- This tag is for unsubscribe link --><a href="{{var subscriber.getUnsubscriptionLink()}}">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Form was filled incorrectly","O formulário foi preenchido incorretamente"
"Guest","Convidado"
"ID","ID"
"Invalid queue selected","Fila inválida selecionada"
"Invalid queue selected.","Lista Inválida selecionada"
"Invalid subscriber ID","ID de subscritor inválida"
"Invalid subscription confirmation code","Código de confirmação de subscrição inválido"
"Invalid subscription confirmation code.","Código de confirmação de subscrição inválido."
"Invalid subscription ID","ID de subscrição inválida"
"Invalid subscription ID.","ID de subscrição inválido."
"Message","Mensagem"
"Need to Confirm","Necessita de Confirmação"
"New Newsletter Template","Novo Template de Newsletter"
"New Template","Novo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Pré-Visualização de Mensagens na Newsletter"
"Newsletter Problem Reports","Relatório de Problemas na Newsletter"
"Newsletter Queue","Lista de Newsletters"
"Newsletter Section","Secção de Newsletter"
"Newsletter Sign-up","Subscrição Newsletter"
"Newsletter Sign-up:","Subscrever Newsletter:"
"Newsletter Styles","Modelos Newsletter"
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter Subscription","Subscrição Newsletter"
"Newsletter subscription confirmation","Confirmação Subscrição de newsletter"
"Newsletter Subscription Form Before","Subscrição Newsletter Formulário"
"Newsletter subscription success","Sucesso subscrição de newsletter"
"Newsletter Subscriptions","Subscrições da Newsletter"
"Newsletter Templates","Modelos da Newsletter"
"Newsletter unsubscription success","Sucesso cancelamento subscrição newlsetter"
"No problems found","Não foram encontrados problemas"
"No problems found.","Não foram encontrados problemas."
"No subscribers selected","Não foram selecionados quaisquer subscritores"
"No subscribers selected.","Não foram selecionados subscritores."
"No Templates Found","Não Foram Encontrados Templates"
"Not activated","Inativo"
"Not Sent","Não enviado"
"Pause","Pausa"
"Paused","Pausado"
"Please enter a valid email address","Por favor insira um email válido"
"Please enter a valid email address.","Por favor indique um endereço de email válido."
"Please enter new template name","Por favor insira um novo nome do Template"
"Please refer to exeption.log","Por favor verifique o ficheiro exception.log"
"Please select subscriber(s)","Por favor selecione os subscritores"
"Preview","Pré-visualizar"
"Preview Template","Pré-visualizar Template"
"Processed","Processado"
"Queue Date Start","Data início da Lista de Espera"
"Queue Finish","Lista de Espera Terminada"
"Queue Information","Informação da lista"
"Queue Newsletter","Lista de espera da Newsletter"
"Queue Newsletter...","Colocar Newsletter em Fila..."
"Queue Start","Início Lista de Espera"
"Queue Subject","Assunto lista espera"
"Recipients","Destinatários"
"Reset","Repor Valores"
"Resume","Continuar"
"Return Html Version","Voltar à Versão HTML"
"Save And Resume","Guardar e continuar"
"Save As","Guardar Como"
"Save Newsletter","Guardar Newsletter"
"Save Template","Guardar Template"
"Selected problem subscribers have been unsubscribed.","Subscritores selecionados com problemas foram cancelados."
"Selected problem subscribers successfully unsubscribed","Os subscritores selecionados com problemas foram removidos da lista de inscrição"
"Selected problems have been deleted.","Problemas selecionados forma removidos."
"Selected problems successfully deleted","Problemas selecionados corretamente removidos"
"Sender","Remetente"
"Sender Email","Email do remetente"
"Sender Name","Nome Remetente"
"Sending","A Enviar"
"Sending Options","Opções de Envio"
"Sent","Enviado"
"Set Return-Path","Definir Return-Path"
"Sign me up","inscreva-me"
"Sign up for our newsletter","Sign up for our newsletter"
"Sign up for our newsletter:","Subscreve a nossa Newsletter:"
"Sorry, but administrator denied subscription for guests. Please <a href="%s">register</a>.","Lamentamos, mas a subscrição para convidados foi desativada. Por favor <a href="%s">registe-se</a>."
"Sorry, but your can not subscribe email adress assigned to another user.","Desculpe,mas não pode subscrever um email que pertence a outro utilizador."
"Start","Iniciar"
"Status","Estado"
"Store","Loja"
"Store View","Vista da Loja"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe","Subscrever"
"Subscribed","Inscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores de"
"Subscription Options","Opções de subscrição"
"Success Email Sender","Remetente Email Sucesso"
"Success Email Template","Template Email Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos de Template"
"Template Subject","Assunto Template"
"Template Type","Tipo de Template"
"Thank you for your subscription","Obrigado pela sua subscrição"
"Thank you for your subscription.","Obrigado pela sua subscrição."
"The subscription has been removed.","A sua subscrição foi removida."
"The subscription has been saved.","A sua subscrição foi guardada."
"The subscription was successfully saved","A subscrição foi corretamente guardada"
"There was a problem with the subscription","Ocorreu um problema com a subscrição"
"There was a problem with the subscription.","Existe um problema com a sua subscrição."
"There was a problem with the subscription: %s","Existe um problema com a subscrição: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento de subscrição."
"There was an error while saving your subscription","Ocorreu um erro enquanto guardava a sua subscrição"
"This email address is already assigned to another user.","Este endereço de email já está a ser utilizado por outro utilizador."
"Toggle Editor","Mudar Editor"
"Type","Tipo"
"Unconfirmed","Não Confirmado"
"Unsubscribe","Cancelar Subscrição"
"Unsubscribe Selected","Cancelar subscrição de selecionado"
"Unsubscribed","Não inscrito"
"Unsubscription Email Sender","Remetente do Email de Cancelamento de Inscrição"
"Unsubscription Email Template","Template do Email de Cancelamento de Inscrição"
"View Newsletter","Ver Newsletter"
"Website","Site"
"You have been successfully unsubscribed.","Cancelou a sua subscrição corretamente"
"You have been unsubscribed.","Deixou de estar subscrito."
"Your subscription has been confirmed.","A sua subscrição foi confirmada."
"Your subscription was successfully confirmed","A sua subscrição foi confirmada com sucesso"
