" and ","e"
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip tags?","Tem a certeza que deseja remover o HTML das Etiquetas?"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem a certeza que deseja remover este tema? Esta alteração irá afetar todas as aplicações."
"As low as:","A partir de:"
"ASCII","ASCII"
"Attribute Set Name:","Nome grupo de Atributos"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos disponiveís"
"Back","Voltar"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Faturação"
"Billing Agreement","Condições de Faturação"
"BINARY","BINARY"
"Bundle Items","Pacote de Produtos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preços dinâmicos não pode conter opções personalizadas. As opções não serão salvas."
"Cancel","Cancelar"
"Cancel URL: ","URL cancelar:"
"Card Verification Number","Número Verificação Cartão Crédito"
"Carrier","Transportadora"
"Catalog","Catálogo"
"Chairs","Cadeiras"
"Change Orientation","Alterar Orientação"
"Changes have been saved to theme.","Alterações ao tema guardadas."
"Channel","Canal"
"Channel:","Canal:"
"Child Transactions","Transações dependentes"
"Choose a selection...","Selecione as suas escolhas"
"Choose Store View","Escolha vista de Loja"
"Clear","Limpar"
"Client Session timeout (sec.)","Tempo de sessão do Cliente até expirar (seg.)"
"Close","Fechar"
"Comments History","Histórico de Comentários"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Ligar-se à comunidade Magento"
"Contents","Conteúdo"
"Continue","Continuar"
"Country:","País:"
"Create a backup","Criar uma cópia de segurança"
"Create New Staging Store View","Criar uma nova Vista de Loja experimental"
"Created <strong>%s</strong> items","Criados <strong>%s</strong> itens"
"Created At","Criado Em"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número Cartão Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo Cartão Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo History","Histórico Nota de Crédito"
"Credit Memo Totals","Total da Nota de Crédito"
"critical","Crítico"
"CSV / Tab separated","Separação CSV / Tab"
"Current Configuration Scope:","Âmbito Atual de Configuração:"
"Current Release Information","Informação da Corrente Versão"
"Custom","Personalizado"
"Custom Colors","Cores Personalizadas"
"Customer","Cliente"
"Customer Group:","Grupo Cliente:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"Dashboard","Painel de Controlo"
"Data Format","Formato da Data"
"Data transfer:","Transfer&ecirc;ncia de dados:"
"Date selection:","Seleção data:"
"Date selector","Selecionador de Data"
"Date:","Data:"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores por omissão (Admin)"
"Default Billing Address","Endereço de Faturação por Omissão"
"Default Response Charset","Charset por Omissão na Resposta"
"Default Values","Valores por Omissão"
"Delete","Remover"
"Delete theme","Remover Tema"
"Dependencies","Dependências"
"Description:","Descrição:"
"Deselect All","Desmarcar Todos"
"DHTML Date/Time Selector","Seleção da Data/hora DHTML"
"Direction:","Direção:"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Não ative as opções AVS e CSC. Elas não funcionam quando usa o ligação Payflow em modo silencioso"
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Não defina nenhum campo nos blocos de Informação de Envio e Faturação como editáveis na sua conta Payflow."
"Done By:","Feito por:"
"Download Remote File","Transferir Ficheiro Remoto"
"Drag to move","Arraste para mover"
"Edit Filter","Editar Filtro"
"Edit Role","Editar Acesso"
"Edit User '%s'","Editar Utilizador '%s'"
"Email","Email"
"Email Preview","Pré-visualizar email"
"Email:","Email:"
"Enable Secure Token:","Ativar Token Seguro:"
"Enclose Values In:","valores delemitados em:"
"Entity Attributes","Atributos de Entidade"
"Entity type:","Tipo de Entidade:"
"Excl. Tax","Excl. Imp."
"Exclude","Excluir"
"Expiration Date","Data Expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Export","Exportar"
"Export FAQ","Perguntas Frequentes Exportação"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"Field Mapping","Mapeamento de campo"
"File Information","Informação do ficheiro"
"File mode","Modo Ficheiro"
"File name:","Nome do Ficheiro:"
"Files","Ficheiros"
"FILTERS APPLIED","FILTROS APLICADOS"
"Final Price","Preço Final"
"Finished items creation.","Criação de Itens Finalizada"
"Finished profile execution.","Terminada a execução do perfil."
"First Name:","Primeiro nome:"
"For latest version visit: %s","Para a última versão visite: %s"
"From","De"
"FTP Host[:Port]","Servidor FTP [:Port]"
"General Information","Informação Geral"
"General Settings","Opções Gerais"
"Get help for this page","Obter ajuda para esta página"
"Gift Message","Mensagem de Presente"
"Global Record Search","Pesquisa Global"
"Go to messages inbox","Ir para a caixa de mensagens"
"Go to notifications","Ir para notificações"
"Go Today","Ir para Hoje"
"Google Base Items","Itens do Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter Magento estável. Reporte os erros que encontrar"
"Home","Início"
"If your Magento instance is used for multiple websites, you must configure a separate Payflow Link account for each website.","Se a sua instância do Magento é utilizada para múltiplos sites, necessita de configurar uma conta Payflow Link para cada site em separado."
"Ignore","Ignorar"
"Images","Imagens"
"images/logo.gif","images/logo.gif"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","Importação / Exportação - Perguntas Frequentes"
"Import FAQ","Perguntas Frequentes Importação"
"Import Service","Importar Serviço"
"Important: ","Importante:"
"In Database:","Na Base de Dados:"
"In File:","No Ficheiro:"
"In Stock","Disponível"
"Inactive","Inativo"
"Inactive Tabs","Separadores Inativos"
"Incl. Tax","Incl. Imp."
"Include","Incluir"
"Installed As","Instalado como"
"Interactive","Interativo"
"Interface Locale: %s","Língua da Interface: %s"
"Invalid webservice adapter specified","Adapter de webservice especificado inválido"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified","Adapter de webservice especificado inválido."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Invoice History","Histórico Faturação"
"Invoice Totals","Totais de Faturação"
"Is Closed","Está Fechado"
"Issue Number","Número Edição"
"Issuer: %s","Autor: %s"
"items selected","itens selecionados"
"Items to merge","Itens a unir"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","Cache JavaScript/CSS"
"Last 5 Orders","Últimas 5 encomendas"
"Last 5 Search Terms","Últimos 5 termos de pesquisa"
"Last Logged In (%s):","Última sessão Em (%s):"
"Last Logged In:","Último início de sessão em:"
"Last Name:","Apelido"
"Latest Message:","Última Mensagem:"
"Leave empty to use tax identifier","Deixe em branco para utilizar identificador de imposto"
"Level","Nível"
"License:","Licença:"
"Links with associated products will retain only after saving current product.","Links de produtos associados só serão retidos após a gravar o produto atual."
"Loading Preview...","A carregar pré-visualização"
"Loading...","A Carregar..."
"Local Server","Servidor Local"
"Local/Remote Server","Servidor Local/Remoto"
"Log In","Iniciar Sessão"
"Log Out","Terminar sessão"
"Logged in as %s","Iniciou sessão como %s"
"Magento Core Api","Api Core do Magento"
"Magento Core Api Section","Secção Magento Core Api"
"Magento Logo","Logótipo do Magento"
"Magento ver. %s","Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento &trade; é uma marca registada de Irubin Consulting Inc. DBA Varien. &copy; <br/>Copyright 2007"
"Magento&trade; is a trademark of Magento Inc.<br/>Copyright &copy; %s Magento Inc.","Magento é uma marca registada de Magento Inc.<br/>Copyright &copy; %s Magento Inc."
"Main Tabs","Separados Principais"
"Maintainers","Manutenção"
"major","IMPORTANTE"
"Make Inactive","Tornar Inativo"
"Make sure that data encoding in the file is consistent and saved in one of supported encodings (UTF-8 or ANSI).","Por favor certifique-se que a codificação do ficheiro é consistente e num dos formatos suportados (UTF-( ou ANSI)"
"Make sure that you configure the design settings for the Payflow Link form in your Payflow link account.","Certifique-se que configura as opções do desenho para o formulário Payflow Link na sua conta Payflow link,"
"Manage Stores","Gerir Lojas"
"Mapping Configuration","Configuração mapeamento"
"Max","Máx."
"md5sum","md5sum"
"Merge Now","Unir Agora"
"Min","Min."
"minor","MENOR"
"Module version conflict!","Conflito de Versões no Módulo!"
"More Tabs","Mais Separadores"
"MS Excel XML","MS Excel XML"
"N/A","N/D"
"Name","Nome"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Name:","Nome:"
"Next month (hold for menu)","Mês seguinte (aguarde para menu)"
"Next page","Página seguinte"
"Next year (hold for menu)","Ano seguinte (aguarde para menu)"
"No","Não"
"No Data Found","Não foram encontrados dados"
"No information available.","Sem informação disponível."
"No profile loaded...","Sem perfil carregado..."
"No search keywords.","Sem termos de pesquisa"
"None","Nenhum"
"Note:","Nota:"
"Notes:","Notas:"
"notice","INFORMAÇÃO"
"Number of records:","Número de resultados:"
"of %s pages","de %s páginas"
"Old rate:","Taxa antiga:"
"On my website","No meu site"
"Once you log into your Payflow Link account, navigate to the Service Settings - Hosted Checkout Pages - Set Up menu and set the options described below","Depois de iniciar sessão na sua conta Payflow Link, navegue até  ao menu Service Settings - Hosted Checkout Pages - Set Up e defina as opções listadas abaixo"
"Only custom theme can be deleted","Apenas temas personalizados podem ser removidos"
"Only default theme can be reset","Apenas o tema por omissão pode ser reposto"
"Only mapped fields","Apenas campos mapeados"
"Options menu items","Itens nas opções menu"
"or","OU"
"Order cannot be placed.","Não foi possível criar a encomenda."
"Order confirmation email not sent","Email de confirmação da encomenda não enviado"
"Order confirmation email sent","Email de confirmação de encomenda enviado"
"Order ID","ID Encomenda"
"Order Totals","Total encomendas"
"Original Magento attribute names in first row:","Nome originais dos atributos Magento na primeira linha"
"Out of stock","Indisponível"
"Package","Pacote"
"Package Information","Informação do Pacote"
"Packages","Pacotes"
"Page","Página"
"Parent Transaction ID","ID Transação Mãe"
"Passive mode","Modo passivo"
"Password","Senha"
"Path","Caminho"
"Path:","Caminho:"
"PayPal Email","Email PayPal"
"per page","por página"
"Personal Information","Informação Pessoal"
"Phone:","Telefone:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor confirme a mudança de site. Todos os dados que não foram guardados serão perdidos."
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirme por favor a troca de site. Todas as informações que não tiverem sido gravadas serão perdidas."
"Please continue with placing order.","Por favor, continue para registar encomenda."
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres"
"Please enter a number greater than 0 in this field.","Por favor insira neste campo um número maior que 0."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um valor válido. Por exemplo ?100.00."
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido"
"Please enter a valid date.","Por favor insira uma data válida"
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um email válido. Por exemplo eu@ exemplo.com"
"Please enter a valid number in this field.","Por favor insira neste campo um email válido"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira o número de segurança social. Por exemplo: 123-45-6789"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Ex: http://www. exemplo.com ou www. exemplo.pt"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é obrigatório"
"Please enter a valid value from list","Por favor insira um valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor insira um valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor insira um código postal válido"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please enter another credit card number to complete your purchase.","Por favor insira outro cartão de crédito para finalizar a sua compra."
"Please enter valid password.","Por favor insira uma palavra-passe válida"
"Please make sure that your changes were saved before running the profile.","Por favor assegure-se que as suas alterações foram guardadas antes de correr o perfil."
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please Select","Por Favor Selecione"
"Please select an option.","Por favor selecione uma opção"
"Please select one of the above options.","Por favor selecione uma das opções acima"
"Please select one of the options.","Por favor selecione uma das opções"
"Please select State/Province.","Por favor selecione o Estado/Província"
"Please use in this field only "a-z,0-9,_".","Por favor utilize apenas "a-z,0-9,_""
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras neste campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números neste campo. Por favor evite espaços ou outros caracteres como pontos e vírgulas"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z) ou números ou espaços e # apenas neste campo"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use o seguinte formato de data: dd/mm/aaaa. Por exemplo 22/09/1984 para 22 de Setembro de 1984"
"Please wait while the indexes are being refreshed.","Por favor aguarde enquanto os índices estão a ser atualizados."
"Please wait, loading...","Por favor aguarde, a carregar..."
"Please, select a store view","Por favor, selecione uma Vista de Loja"
"Preset Theme","Tornar Tema como omissão"
"Prev. month (hold for menu)","Mês ant. (aguarde para menu)"
"Prev. year (hold for menu)","Ano ant. (aguarde para menu)"
"Preview","Pré-Visualizar"
"Previous page","Página anterior"
"Price","Preço"
"Price:","Preço:"
"Primary Billing Address","Endereço de faturação primário"
"Processed <strong>%s%% %s/%d</strong> items","Processados <strong>%s%% %s/%d</strong> itens"
"Product","Produto"
"Product Name3 ","Nome Produto3"
"Product Name3 1","Nome Produto3 1"
"Product Name3 2","Nome Produto3 2"
"Products","Produtos"
"Profile Information","Informação do perfil"
"Provided Files","Ficheiros cedidos"
"Qty","Qt"
"Qty:","Qtd:"
"Read details","Ler detalhes"
"Recommended","Recomendado"
"Reference ID","ID Referência"
"Regular Price:","Preço Normal:"
"Remote FTP","FTP Remoto"
"Remote URL:","Url Remota:"
"Remove","Remove"
"Required settings","Definições Obrigatórias"
"Reset","Repor Valores"
"Reset Successful","Reposto com sucesso"
"Reset theme to default","Repor Tema para Omissão"
"Resource Access","Acesso Recurso"
"Resources","Recursos"
"Return URL: ","URL de retorn:"
"Role","Papel"
"Role Users","Utilizadores"
"Roles","Níveis"
"Roles Resources","Listas de Acessos"
"Save","Guardar"
"Save As","Guardar Como"
"Save Theme","Guardar Tema"
"Schedule Merge","Unir Horários"
"Screens:","Ecrãs:"
"Select All","Selecionar tudo"
"Select Date","Selecionar Data"
"Select Range","Selecione período"
"Select Template","Selecione Template"
"Select Visible","Selecionar visíveis"
"Select website from map","Selecionar Site a partir do Mapa"
"Select website to map","Selecione o website a mapear"
"Shipment Comments","Comentários Envio"
"Shipment History","Histórico Envio"
"Shipping Address","Endereço de Envio"
"Shipping address selection is not applicable","Seleção de endereço de envio não aplicável"
"Shipping method selection is not applicable","Seleção método de envio não aplicável"
"Show by","Mostrar por"
"Show confirmation page: ","Mostrar Página de Confirmação:"
"Show Report for","Mostrar Relatório para"
"Silent Post URL:","Silent Post URL:"
"SKU","SKU"
"SKU:","SKU:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Alguns itens nesta encomenda tem diferentes tipos de faturação e envio. Pode criar o envio após a criação da fatura."
"Some other FAQ","Outras Perguntas Frequentes"
"SORT BY:","ORDENAR POR:"
"Sort Order","Ordenar Encomenda"
"Special Price:","Preço Especial:"
"Spreadsheet Name:","Nome Folha de Cálculo"
"Staging Store: ","Loja Experimental:"
"Staging Website: ","Website Experimental:"
"Start Date","Data início"
"Start/Reset Validation...","Iniciar/Reiniciar Validação..."
"Starting profile execution, please wait...","A iniciar execução perfil, por favor aguarde..."
"State/Province:","Estado/Província:"
"Status","Estado"
"Status:","Estado:"
"Stock Quantity:","Quantidade em Inventário:"
"Store:","Loja:"
"Subpackage","Subpacote"
"Subpackages","Subpacotes"
"Summary:","Sumário:"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) número cartão: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) data início cartão: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) Apenas"
"Synchronization is required.","Sincronização necessária"
"System busy","Sistema Ocupado"
"T-Shirts","T-Shirts"
"Target","Destino"
"Tell a Friend","Informar um Amigo"
"Template Name","Nome do Template"
"The card has failed verification with the issuer bank.","O cartão falhou a validade junto da entidade emissora."
"The information in this tab has been changed.","A informação neste separador foi alterada"
"Theme configurations are successfully reset.","Configurações Tema repostas com sucesso."
"Theme has been saved.","O Tema foi guardado"
"Theme label can't be empty","Legenda do tema não pode ficar vazia"
"Theme label:","Legenda Tema:"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","A submetida informação de pagamento está incorreta ou expirou o tempo. Por favor tente novamente."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta é uma loja de demonstração. Qualquer encomenda realizada não será tida em consideração."
"This is a required field.","Este campo é obrigatório"
"This tab contains invalid data. Please solve the problem before saving.","Este separador contém dados inválidos. Por favor resolva o problema antes de guardar"
"Thumbnail","Miniatura"
"Time selection:","Seleção Hora:"
"Time:","Hora:"
"Title bar","Barra de Título"
"To","Até"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Para cancelar autorizações e pedidos de cobrança pendentes que já foram processados durante este pagamento clique em Cancelar."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","Para utilizar o Payflow Link, necessita de configurar a sua conta Payflow Link no site Paypal."
"Top 5 Search Terms","5 Termos de Pesquisa mais utilizados"
"Total %d records found","Um total de %d resultados encontrados"
"Track order","Seguir Encomenda"
"Track this shipment","Monitorize este envio"
"Transaction Data","Dados Transação"
"Transaction Details","Detalhes Transação"
"Transaction ID","ID Transação"
"Transaction Type","Tipo de Transação"
"Try Magento Go for Free","Experimento o Magento Go gratuitamente"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Incapaz de iniciar sessão"
"Unknown Error","Erro Desconhecido"
"Unknown Error.","Erro desconhecido."
"Unselect All","Desmarcar todos"
"Unselect Visible","Desmarcar Visíveis"
"Update Preview","Atualizar Pré-Visualização"
"Updated At","Atualizado A"
"Upgrade All Available Packages","Atualizar todos os pacotes disponíveis"
"Upload Local File","Carregar ficheiro local"
"Upload local file:","Carregar ficheiro local:"
"Use Default Value","Utilizar Valor por Omissão"
"Use Silent Post:","Utilizar Silent Post:"
"User","Utilizador"
"User Name","Nome de Utilizador"
"User Roles","Acessos Utilizador"
"Users","Utilizadores"
"Validation Results","Resultados de Validação"
"Value Delimiter:","Delimitação de Valor:"
"Verification cannot be processed","Não foi possível processar a verificação"
"Verification Failed","Verificação Falhou"
"Verification Successful","Verificação efetuada com sucesso"
"Version:","Versão:"
"View","Ver"
"View Details","Ver Detalhes"
"View Gallery","Ver Galeria"
"View Statistics for","Ver Estatísticas para"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Aviso! Valores vazios podem causar problemas com o formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta ação vai remover este utilizador de papeis já atribuídosrnTem a certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atenção!rnEsta ação vai remover os utilizadores de papeis já atribuídosrnTem a certeza?"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Atenção!rnEsta ação vai remover o utilizador do acesso já atribuído nTem a certeza?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Atenção!rnEsta ação vai remover o utilizador dos acessos já atribuídos nTem a certeza?"
"Warning: Please do not close the window during importing/exporting data","Atenção: Por favor não feche esta janela durante o processo de importação/exportação de dados"
"We detected that your JavaScript seem to be disabled.","Detetamos que seu JavaScript parece estar desativado."
"Web Services","Web Services"
"Web Services Configuration","Configuração de Web Services"
"Website: ","Site:"
"Websites","Sites"
"Websites / Stores","Sites/Lojas"
"What is this?","O que é isto?"
"WS-I Compliance","Conformidade WS-I"
"Yes","Sim"
"You have","Você tem"
"You have %s unread message(s).","Tem %s mensagens não-lidas"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Precisa de ter o JavaScript ativo no seu browser para utilizar a funcionalidade deste site."
"Your Account has been deactivated.","A sua conta foi desativada."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As configurações do PHP permitem-lhe carregar não mais que %s ficheiros ao mesmo tempo. Por favor modifique os valores de post_max_size (atualmente é %s) e upload_max_filesize (atualmente é %s) no ficheiro php.ini se deseja carregar ficheiros maiores."
"Zip/Postal Code:","Código Postal:"
