"# of Use","# Usado"
"%1$s incl tax.","%1$s incl. imposto."
"%s - %s","%s - %s"
"%s Item(s)","&s Item(ns)"
"Anchor Custom Text","Texto Personalizado da Âncora"
"Anchor Custom Title","Título Personalizado da Âncora"
"and","e"
"and above","e superiores"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Apenas aplicável aos produtos e categorias. Qualquer média será inserido no editor como ligação estática. Não será alterada se a URL base do sistema for alterada."
"Apply MAP (Default Value)","Aplicar PMA (Valor por Omissão)"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar a Configurável/Grupo de produtos"
"Approved","Aprovado"
"Are you sure you want to delete this category?","Tem a certeza que deseja remover esta categoria?"
"Are you sure you would like to remove all products from your comparison?","Tem a certeza que deseja remover todos os produtos para comparação?"
"Are you sure you would like to remove this item from the compare products?","Tem a certeza que deseja remover este item da sua lista de comparação?"
"Are you sure you would like to remove this item from the comparison list?","Tem a certeza que deseja remover este item da lista de compração?"
"Are you sure?","Tem a certeza?"
"As low as:","A partir de:"
"Assign","Associar"
"Assign product link","Associar link do produto"
"Assign product to category","Associar produto a categoria"
"Assigned Products","Produtos Associados"
"Associated Products","Produtos Associados"
"Attrib. Set Name","Nome Grupo Atr."
"Attribute "%s" is invalid.","O atributo "%s" é inválido."
"Attribute "%s" is required.","O atributo "%s" é obrigatório."
"Attribute Code","Código de Atributo"
"Attribute group with the "/name/" name already exists","Já existe um Grupo de Atributos com o nome "/name/""
"Attribute group with the "/name/" name already exists","Já existe um grupo de atributos com o mesmo nome"
"Attribute Information","Informação do atributo"
"Attribute Label","Rótulo do Atributo"
"Attribute Model","Modelo de Atributo"
"Attribute model not defined","Modelo de Atributo não definido"
"Attribute Name:","Nome do Atributo:"
"Attribute Properties","Propriedades do Atributo"
"Attribute Set","Grupo de Atributos"
"Attribute with the same code already exists","Já existe um atributo com o mesmo código"
"Attributes","Atributos"
"Attrribute names can be specified per store.","Nomes de atributos podem ser especificados por loja."
"Autogenerate","Gerar automaticamente"
"Availability","Disponibilidade"
"Availability:","Disonibilidade:"
"Availability: In stock.","Disponibilidade: Disponível"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Voltar"
"Backend Model","Modelo Administrativo"
"Backend Table","Tabela administrativa"
"Backend Table Title","Título da Tabela Administrativa"
"Backorders","Encomendas em produção"
"Base directory to upload image file is not specified","O diretório base para o carregamento de imagens não está especificado"
"Based On","Baseado em"
"Before Order Confirmation","Antes de Confirmação Encomenda"
"Best Value","Melhor valor"
"Block after Info Column","Bloco após a Coluna Info"
"Bottom Block Options Wrapper","Opções Invólucro para o Bloco Inferior"
"Bottom/Left","Inferior/esquerdo"
"Bottom/Right","Inferior/direito"
"Browse By","Navegar Por"
"Bundle Items","Pacote de Produtos"
"Buy %1$s","Compre %1$s"
"Buy %1$s for","Compre %1$s por"
"Buy %1$s for %2$s","Compre %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Compre %1$s por %2$s (%3$s inc. imposto) cada"
"Buy %1$s for %2$s each","Compre %1$s por %2$s cada"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s de desconto em cada"
"Cache Lifetime (Seconds)","Tempo de Vida do Cache (Segundos)"
"cache refresh needed","necessária atualização do cache"
"Cache refresh needed.","Atualização de Cache Necessária."
"Can be used only with catalog input type Dropdown","Apenas pode ser usado com o tipo de entrada Menu de Seleção no Catálogo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Apenas pode ser usado com o tipo de entrada Menu de Seleção no Catálogo, Select múltiplo e Preço"
"Can't create image.","Não foi possível criar a imagem"
"Cancel","Cancelar"
"Cannot create image.","Não foi possível criar a imagem."
"Cannot create writeable directory '%s'","Não foi possível criar o diretório com permissões de escrita '%s'"
"Cannot create writeable directory '%s'.","Não foi possível criar o diretório com permissões de escrita '%s'."
"Can't create image.","Não foi possível criar a imagem."
"Cart Item Attribute","Atributo item carrinho"
"Catalog","Catálogo"
"Catalog Category (Anchor)","Categoria do Catálogo (Âncora)"
"Catalog Category (Non-Anchor)","Categoria do Catálogo (Não-Âncora)"
"Catalog Category (Without Subcategories)","Catálogo Categoria (Sem Subcategorias)"
"Catalog Category Link","Catálogo Categoria Ligação"
"Catalog Input Type for Store Owner","Tipo de entrada para Dono da Loja"
"Catalog New Products List","Catálogo Lista de Novos Produtos"
"Catalog Price Scope","Âmbito do Preço Catálogo"
"Catalog Product Compare List","Catálogo Produto Lista de Comparação"
"Catalog Product Email to a Friend","Enviar Produto do Catálogo a um Amigo por Email"
"Catalog Product Image Gallery Popup","Catálogo Produto Janela de Visualização de Galeria"
"Catalog Product Link","Link para o Catálogo de Produtos."
"Catalog Product View (Any)","Catálogo Produto Visualizar (Qualquer)"
"Catalog Product View (Configurable)","Catálogo Produto Visualizar (Configurável)"
"Catalog Product View (Grouped)","Catálogo Produto Visualizar (Grupo)"
"Catalog Product View (Simple)","Catálogo Produto Visualizar (Simples)"
"Catalog Product View (Virtual)","Catálogo Produto Visualizar (Virtual)"
"Catalog Section","Secção de Catálogo"
"Catalog Seo Popular Search Terms","Catálogo Seo Termos de Pesquisa Populares"
"Catalog Seo Sitemap (Category List)","Catálogo Seo Mapa Sitio (Lista Categorias)"
"Catalog Seo Sitemap (Category Tree)","Catálogo Seo Mapa Sítio (Árvore Categorias)"
"Catalog Seo Sitemap (Common)","Catálogo Seo Mapa Sítio (Comum)"
"Catalog Seo Sitemap (Product List)","Catálogo Seo Mapa Sítio (Listagem Produtos)"
"Catalog URL Rewrites","Catálogo URL Rescritas"
"Catalog, Search","Catálogo, Pesquisa"
"Categories","Categorias"
"Categories Sitemap","Mapa do Sítio das Categorias"
"Category","Categoria"
"Category API","API Categoria"
"Category attributes API","Atributos da categoria API"
"Category Data","Dados da Categoria"
"Category delete error","Erro ao remover categoria"
"Category deleted","Categoria removida"
"Category Flat Data","Catálogo Dados Fixos"
"Category Link Block Template","Categoria Ligação Modelo Bloco"
"Category Link Inline Template","Categoria Ligação Modelo Local"
"Category move error","Erro ao mover categoria"
"Category move operation is not possible: parent category is equal to child category.","Não foi possível mover a categoria. A categoria superior é igual à categoria a ser movida."
"Category move operation is not possible: the current category was not found.","Não foi possível mover a categoria. A categoria atual não foi encontrada."
"Category move operation is not possible: the new parent category was not found.","Não foi possível mover a categoria. A nova categoria mãe não foi encontrada"
"Category must be an instance of Mage_Catalog_Model_Category.","A categoria tem que ser uma instância de Mage_Catalog_Model_Category."
"Category must be instance of Mage_Catalog_Model_Category","A categoria tem que ser uma instância de Mage_Catalog_Model_Category"
"Category Navigation:","Navegação por Categorias:"
"Category Products","Produtos na Categoria"
"Category saved","Categoria guardada"
"Category Top Navigation","Categoria de Todo de Navegação"
"Category URL Suffix","Sufixo URL da Categoria"
"Center","Centro"
"Change","Alterar"
"Change or Retrieve attribute store view","Alterar ou obter atributo da vista de loja"
"Change status","Alterar Estado"
"Check items to add to the cart or","Selecione os itens para adicionar ao carrinho ou"
"Choose an Option...","Escolha uma opção..."
"Choose option...","Escolha opção..."
"Clear All","Limpar tudo"
"Clear All Items","Limpar todos os itens"
"Click for price","Clique para preço"
"Click to see price","Clique para ver o preço"
"Close Window","Fechar janela"
"Collapse All","Fechar tudo"
"comma separated","separado por vírgulas"
"Comma-separated.","Separados por vírgula."
"Comparable","Comparável"
"Comparable on Front-end","Comparável na Loja"
"Comparable on the Frontend","Comparável na Loja"
"Compare","Compare"
"Compare Items","Comparar Itens"
"Compare list successfully cleared","Lista de comparação de preços corretamente limpa"
"Compare Products","Comparar Produtos"
"Compare Products (%d)","Comparar Produtos (%d)"
"Compare Products - %d Items","Comparar Produtos - %d itens"
"Compare Products List","Compara Lista de Produtos"
"Conditions Combination","Condições de Combinação"
"Configurable Product","Produto Configurável"
"Configurable Product Settings","Opções de produtos configuráveis"
"Configure Product","Configurar Produto"
"Continue","Continuar"
"Copy From Configurable","Copiar de Produto Configurável"
"Country/State","País/Estado"
"Create","Criar"
"Create (Upload)","Criar (carregar)"
"Create Empty","Criar Vazio"
"Create new category","Criar nova categoria"
"Create new product","Criar novo produto"
"Create Permanent Redirect for old URL","Criar Redirecionamento para uma URL não usada"
"Create Permanent Redirect for old URLs if Url key changed","Criar Redirecionamento para uma URL não usada se a chave URL mudar"
"Create Product Settings","Criar Opções do Produto"
"Create Simple Associated Product","Criar um Produto Associado Simples"
"Cross-sells","Vendas Cruzadas"
"Currently Shopping by","Atualmente a comprar por"
"Currently Shopping by:","Atualmente a Comprar por:"
"Custom Design","Desenho Personalizado"
"Custom Options","Opções personalizadas"
"Customer Group","Grupo do Cliente"
"Customers for alert %s was successfuly added to queue","Clientes para alertas %s foram corretamente colocados em Lista de Espera"
"Customers for alert %s were successfuly added to queue","O clientes para o alerta %s foram adicionados com sucesso à lista de espera"
"Customers Reviews","Análises dos clientes"
"Customers Tagged Product","Produtos etiquetados pelos Clientes"
"Data Type for Saving in Database","Tipo de Dados para guardar na Base de Dados"
"Date","Data"
"Date & Time Custom Options","Personalizar opções de Data/Hora"
"Date fields order","Ordem dos campos da data"
"Date Subscribed","Data subscrição"
"Datetime","Datahora"
"Decimal","Décimla"
"Decimal Number","Número decimal"
"Declare attribute value saving scope","Definir o valor do atributo para guardar o âmbito"
"Default "What's This" Text Message","Texto por Omissão na Mensagem "O que é isto?""
"Default Popup Text Message","Mensagem de Texto por Omissão na popup"
"Default price","Preço por Omissão"
"Default Price Navigation Step","Preço por Omissão na Navegação por Passos"
"Default Qty","Qt. por omissão"
"Default value","Valor por omissão"
"Default Values","Valores por Omissão"
"Defines the base currency scope ("Currency Setup" > "Currency Options" > "Base Currency").","Define o âmbito da moeda base ("Moeda" > "Opções Moeda" > "Moeda Base")"
"Delete","Remover"
"Delete Attribute","Remover Atributo"
"Delete Attribute Set","Remover Grupo de Atributos"
"Delete Category","Remover Categoria"
"Delete Option","Opção de remover"
"Delete product","Remover produto"
"Delete Row","Remover linha"
"Delete Search","Remover Pesquisa "
"Delete Selected Group","Remove grupo selecionado"
"Depends on design theme","Depende do desenho do Tema"
"Description","Descrição"
"Design","Desenho"
"Details","Detalhes"
"Disabled","Inativo"
"Disallowed file type.","Tipo de ficheiro não permitido."
"Display Actual Price","Mostrar Preço Atual"
"Display in Suggested Terms","Mostrar nos termos Sugeridos"
"Double click on a group to rename it","Duplo Clique num grupo para o renomear"
"Double click on above image to view full picture","Faça duplo clique na imagem para a ver na integra"
"Downloadable Information","Informação de Descarregamento"
"Dropdown","Lista de seleção"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Duplicar o desconto em quantidade do grupo de clientes e quantidade do site"
"Duplicate website, country and state tax found.","Foi encontrado um duplicado de Imposto para sítio, país e estado"
"E.g. {{media url="path/to/image.jpg"}} {{skin url="path/to/picture.gif"}}. Dynamic directives parsing impacts catalog performance.","Ex. {{media url="caminho/para/igem.jpg"}} {{skin url="caminho/para/figura.gif"}}. A análise de directivas dinâmicas tem impacto na performance do catálogo."
"each","cada"
"Edit","Editar"
"Edit Attribute Set '%s'","Editar grupo de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute "%s"","Editar atributo do produto "%s""
"Edit Search","Editar pesquisa "
"Edit Search '%s'","Editar Pesquisa '%s'"
"Edit Set Name","Editar Nome do Grupo"
"Email","Email"
"Email to %s was not sent.","O email para %s não foi enviado"
"Email to a Friend","Enviar por email a um amigo"
"Empty","Vazio"
"Enable MAP","Ativar PMA"
"Enable Qty Increments","Ativar Múltiplos de Quantidade"
"Enable WYSIWYG","Ativar WYSIWYG"
"Enabled","Ativo"
"Error during retrieval of option value: %s","Erro durante a recepção do valor da opção: %s"
"Error while adding customers for %s alert. Message: %s","Erro enquanto adicionava clientes para a alerta %s. Mensagem: %s "
"Error while saving this group. Group with the same name already exists.","Erro ao guardar grupo. Já existe um outro com o mesmo nome."
"Error while saving this group. Please try again later.","Erro ao guardar o grupo. Por favor tente novamente mais tarde"
"ex. http://domain.com","ex: http://omeusite.com"
"Exclude","Excluir"
"Expand All","Expandir tudo"
"Failed","Falhado"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Falha ao copiar o ficheiro. Por favor, remove média com imagens não existentes e tente novamente."
"Failed to move file: %s","Incapaz de mover o ficheiro: %s"
"Feature Products","Produtos em Destaque"
"Field is not complete","O campo não está completo"
"File options format is not valid","Opções do formato do arquivo inválidas"
"File options format is not valid.","Opções de formato do ficheiro inválida."
"File upload failed","O carregamento de ficheiro falhou"
"Filter model name must be declared","O nome do modelo de filtro tem que ser definido"
"Filter model name must be declared.","O nome do modelo do filter tem que ser declarado."
"Filter must be an object. Please set correct filter.","O filtro tem de ser um objeto. Por favor, defina o filtro correcto."
"Filter must be as object. Set correct filter please","O filtro tem que ser um objeto. Por favor corrija o problema"
"Filterable (no results)","Filtrável (sem resultados)"
"Filterable (with results)","Pesquisável (com resultados)"
"Filters must be as array","Os filtros tem que ser uma matriz (array)"
"First Name","Primeiro Nome"
"Fixed","Fixo"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","O Catálogo plano tem um limite de %2$d atributos passiveis de filtragem e/ou ordenação. Atualmente existem %1$d. Por favor reduza o número de atributos passiveis de filtragem e/ou ordenação para utilizar este módulo."
"For internal use.","Para uso interno."
"For internal use. Must be unique with no spaces","Para uso interno. Tem que ser único e sem espaços"
"For reindex enabled product(s) you need specify store or product","Para reindexar os produtos disponíveis necessita de especificar uma loja ou produto"
"Frontend","Frontend"
"Frontend Model","Modelo de Interface de Utilizador"
"Frontend Properties","Propriedades da Interface do Utilizador"
"Gallery","Galeria"
"General Information","Informação Geral"
"Get special price","Obtenha preço especial"
"Global","Global"
"Globally Editable","Editável Globalmente"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grelha"
"Grouped Product","Grupo de Produtos"
"Groups","Grupos"
"Home","Início"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Se vazio, será utilizado o Nome da Categoria"
"If empty, the Product Name will be used","Se o campo não estiver preenchido, será utilizado o Nome do Produto."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se não definir um valor para a opção de uma loja específica o valor por omissão (Admin) será utilizado"
"Image","Imagem"
"Image content is not valid base64 data.","O Conteúdo da imagem não é base64 válido"
"Image does not exist.","A imagem não existe."
"Image file not found","Imagem não encontrada"
"Image file was not found.","A imagem não foi encontrada"
"Image not exists","Imagem não existente"
"Image not specified.","Imagem não especificada"
"Image type and information need to be specified for each store view.","O tipo de imagem e informação necessita de ser especificado para cada Vista de Loja"
"In Cart","No Carrinho"
"In Stock","Disponível"
"In stock.","Disponível"
"Incl. Tax","Incl. Imp."
"Index product and categories URL rewrites","Índice de rescritas de produtos e categorias"
"Index product attributes for layered navigation building","Índice de atributos de produtos para navegação por atributos a ser construído"
"Index product prices","Indexar preços dos produtos"
"Indexed category/products association","Indexado a associação categoria/produtos"
"Info Column Options Wrapper","Opções Invólucro para o Bloco Infromação"
"Input Type","Tipo de Entrada"
"Input Validation for Store Owner","Validação de entrada para dono da Loja"
"Integer","Inteiro"
"Integer Number","Número Inteiro"
"Invalid attribute %s","Atributo inválido %s"
"Invalid attribute %s.","Atributo inválido %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção para o atributo especificada inválida %s (%s), ignorando o registo."
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid attribute set specified, skipping the record.","Grupo de Atributos especificado inválido, a ignorar o registo."
"Invalid block: %s","Bloco inválido: %s"
"Invalid block: %s.","Bloco Inválido: %s."
"Invalid category","Categoria inválida"
"Invalid category IDs","Id's de categoria inválidos"
"Invalid category IDs.","Id's de Categoria Inválidos."
"Invalid category.","Categoria inválida."
"Invalid image file type","Tipo de ficheiro de imagem inválido"
"Invalid image file type.","Tipo de imagem inválido."
"Invalid image type.","Tipo de imagem inválido."
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid option ID specified for %s (%s), skipping the record.","ID opção inválida especificada %s (%s), ignorando o registo."
"Invalid product type specified, skipping the record","Tipo de produto inválido, ignorando os dados"
"Invalid product type specified, skipping the record.","Tipo de produto especificado inválido, ignorando o registo."
"Invalid store specified","Loja espeficiada inválida"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Invalid store specified, skipping the record.","Loja especificada inválida, a ignorar o registo."
"Invalid Tier Prices","Descontos por quantidade inválidos"
"Invalid tier prices. The product is not associated to the requested website.","Preços de desconto em quantidade inválidos. O produto não está associado com o site pedido."
"Invalid transactional email code.","Código de email transacional inválido."
"Inventory","Inventário"
"Is Default","É valor por omissão"
"Is Required","É obrigatório"
"Items %s to %s of %s total","Itens %s a %s num total de %s"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Itens que não deseja mostrar no catálogo ou nos resultados de pesquisa devem ser marcados com o Estado "Inativo" na loja pretendida."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os itens que não deseja mostrar no catálogo ou nos resultados da pesquisa devem ter o estado 'Desativado' na Loja desejada"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Legenda"
"Last Name","Apelido"
"Last Notification","Última Notificação"
"Layered Navigation","Navegação Por Atributos"
"Learn More","Mais informação"
"leave blank if its not an image","deixe em branco se não for uma imagem"
"Length of text is too long","O comprimento do texto é demasiado grande"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras (a-zA-Z) ou Números(0-9)"
"Line %d, Email: %s","Linha %s, Email: %s"
"Line %d, SKU: %s","Linha %s, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link(Relacionados, Vendas Superiores, Vendas Cruzadas )"
"Link product does not exist.","Não existe link para o produto."
"Link product not exists.","O produto não existe"
"Link to a Specified Category","Ligar a uma Categoria Específica"
"Link to a Specified Product","Ligar a um Produto Específico"
"List","Lista"
"List Mode","Modo Lista"
"List of Products that are set as New","Lista de Produtos marcados como Novo"
"Manage Attribute Sets","Gerir Grupos de Atributos"
"Manage Attributes","Gerir Atributos"
"Manage Catalog Categories","Gerir Categorias do Catálogo"
"Manage Categories","Gerir Categorias"
"Manage Label / Options","Gerir Rótulo / Opções"
"Manage Options (values of your attribute)","Gerir Opções (Valores do seu atributo)"
"Manage Product Attributes","Gerir Atributos do Produto"
"Manage Product Sets","Gerir Grupos de Atributos"
"Manage Products","Gerir Produtos"
"Manage Stock","Gerir Stock"
"Manage Titles (Size, Color, etc.)","Gerir Títulos (tamanho, cor, etc.)"
"Max Characters","Max. Caracteres"
"Maximal Depth","Profundidade máxima"
"Maximum allowed image size for '%s' is %sx%s px.","O tamanho máximo permitido para a imagem '%s' é %sx%s px."
"Maximum image height","Altura máxima imagem"
"Maximum Image Size","Tamanho máximo imagem"
"Maximum image width","Largura máxima imagem"
"Maximum number of characters","Número máximo de caracteres"
"Maximum number of characters:","Número máximo de caracteres"
"Maximum Qty Allowed in Shopping Cart","Qt. Máxima Permitida no Carrinho de Compras"
"Media Image","Imagem Media"
"Minimum Advertised Price","Preço Mínimo Anunciado"
"Minimum Lines Per Page","Número máximo de linhas por página"
"Minimum Qty Allowed in Shopping Cart","Qt. Mínima Permitida no Carrinho de Compras"
"Minimum Qty for Item's Status to be Out of Stock","Qt Mínima para o Estado do Item estar Indisponível"
"Minimum Qty for Item's Status to be Out of Stock","Qt. mínima para o estado do item ficar como Indisponível"
"Missing SKU, skipping the record","SKU em falta, ignorando os dados"
"Missing SKU, skipping the record.","SKU não encontrado, ignorando o registo."
"More Views","Mais vistas"
"Move","Mover"
"Move category in tree","Mover categoria na listagem"
"Multiple Select","Selecão Múltipla"
"must be in the allowed values list","tem que estar na lista de valores permitidos"
"Must be in the allowed values list.","Tem que estar na lista de valores permitidos."
"N/A","N/D"
"Name","Nome"
"Name In %s","Nome Em %s"
"Name<br/>(For internal use)","Nome <br/>(Para uso interno)"
"New Category","Nova Categoria"
"New Product","Novo Produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos Produtos"
"New Products Grid Template","Modelo de Grelha de Novos Produtos"
"New Products List Template","Modelo Listagem de Novos Produtos"
"New Root Category","Nova Categoria-Mãe"
"New Search","Nova pesquisa "
"New Set Name","Novo Nome Grupo"
"New Subcategory","Nova Sub-Categoria"
"Next","Seguinte"
"No","Não"
"No image","Sem Imagem"
"No layout updates","Sem atualizações à layout"
"No layout updates.","Sem atualização do layout."
"No options of this product are available.","Não existem opções disponíveis para este produto"
"No product collections found","Não foram encontradas coleções de produtos"
"No product collections found.","Não foram encontradas coleções de produtos."
"None","Nenhum"
"Not shared with other products","Não está partilhado com outros produtos"
"Not Visible Individually","Invisível individualmente"
"Notify for Quantity Below","Notificar para quantidade abaixo"
"Notify Low Stock RSS","Notificação baixa disponibilidade por RSS"
"Nowhere","Em lado nenhum"
"Number of Products to Display","Número de Produtos a Mostrar"
"Number of results<br/>(For last time placed)","Número de resultados<br />(Colocados da última vez)"
"Number of results<br/>(For the last time placed)","Número de resultados<br/>(Colocados desde a última vez)"
"Number of Uses","Número de utilizações"
"OK","OK"
"Old Price:","Preço antigo:"
"On Gesture","Por Gesto"
"Option validation failed to add product to cart","Falha na validação das opções ao adicionar no carrinho"
"Option validation failed to add product to cart.","Falha na validação de opção ao adicionar o produto ao carrinho."
"Option:","Opção:"
"Options Control","Controlo de Opções"
"Options is required","Opções são obrigatórias"
"OR","OU"
"Our customer service is available 24/7. Call us at (555) 555-0123.","O nosso suporte está disponível 24/7"
"Out of Stock","Indisponível"
"Out of stock.","Indisponível"
"Page Title Separator","Separador do Título da Página"
"Page:","Pagina:"
"Parent Category","Categoria Superior"
"Pending","Pendente"
"Pending Reviews RSS","Análises Pendentes RSS"
"per page","por página"
"Percentage","Percentagem"
"Please add rows to option.","Por favor adicione linhas à opção"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Tenha atenção ao clicar na linha, já que irá carregar a informação do ficheiro selecionado e todos os dados não guardados serão perdidos"
"Please click on Close Window button if it won't be closed automatically","Por favor clique no botão de fechar a janela se esta não fechar automaticamente"
"Please click on the Close Window button if it is not closed automatically.","Clique por favor em Fechar janela se esta não se fechar atomaticamente."
"Please enter a new group name","Por favor insira um nome do grupo"
"Please refresh "Catalog Rewrites" and "Layered Navigation Indices" in System -> <a href="%s">Cache Management</a>","Por favor atualize "Rescritas do Catálogo" e "Índice de navegação por atributos" em Sistema-> <a href="%s">Gestão de Cache</a>"
"Please refresh "Catalog URL Rewrites" and "Product Attributes" in System -> <a href="%s">Index Management</a>","Por favor atualize as "Rescritas do Catálogo" e "Atributos do Produto" em Sistema -> <a href="%s">Gestão Índice</a>"
"Please select  items","Por favor selecione os itens"
"Please select a static block ...","Por favor selecione um bloco estático"
"Please select items.","Por favor selecione os itens."
"Please select one or more attributes.","Por favor selecione um ou mais atributos"
"Please select product(s)","Por favor selecione produto(s)"
"Please select product(s).","Por favor selecione o(s) produto(s)"
"Please select products for attributes update","por favor selecione os produtos para atualiza de atributos"
"Please select static block ...","Por favor selecione um bloco estático"
"Please set up merge date/time .","Por favor defina a união data/hora."
"Please specify date required option(s)","Por favor defina as opções obrigatórias para a data"
"Please specify date required option(s).","Por favor especifique opções de data obrigatória"
