""%s" contains not only digit characters.",""%s" não contém apenas caracteres numéricos."
""%s" does not fit the entered date format.",""%s" não está em conformidade com o formato de data."
""%s" exceeds the allowed file size.",""%s" excede o tamanho máximo."
""%s" exceeds the allowed length.",""%s" excede o comprimento máximo."
""%s" has not only alphabetic and digit characters.",""%s" não tem apenas caracteres numéricos e ltras"
""%s" has not only alphabetic characters.",""%s" não contém apenas caracteres alfabéticos"
""%s" height exceeds allowed value of %s px.","A altura de "%s" excede o valor permitido de %s px."
""%s" invalid type entered.",""%s" tipo inserido inválido"
""%s" is a required value.",""%s" é um valor obrigatório"
""%s" is an empty string.",""%s" é um texto vazio"
""%s" is not a valid date.",""%s" não é uma data válida"
""%s" is not a valid email address.",""%s" não é um endereço de email válido"
""%s" is not a valid file",""%s" não é um ficheiro válido"
""%s" is not a valid file extension.",""%s" não é uma extensão de ficheiro válida"
""%s" is not a valid file.",""%s" não é um ficheiro válido"
""%s" is not a valid hostname.",""%s" não é um nome de host válido"
""%s" is not a valid image format",""%s" não é um formato de imagem válido"
""%s" is not a valid URL.",""%s" não é um URL válido"
""%s" length must be equal or greater than %s characters.","O comprimento de "%s" deve ser igual ou maior que %s caracteres"
""%s" length must be equal to or greater than %s characters.","O comprimento de "%s" deve ser igual ou maior que %s caracteres."
""%s" length must be less than or equal to %s characters.","O comprimento de "%s" tem que ser inferior ou igual a %s caracteres"
""%s" width exceeds allowed value of %s px.","A largura de "%s" excede o valor permitido de %s px."
"Please enter your email below and we'll send you confirmation link for it.","Por favor, digite o seu e-mail abaixo e enviaremos o link de confirmação."
"Please enter your email.","Por favor insira o seu email"
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please select","Por Favor Selecione"
"Please select region, state or province","Por favor selecione uma região, estado ou província"
"Please, check your e-mail for confirmation key.","Por favor verifique o seu email para a chave de confirmação"
"Please, check your email for confirmation key.","Por favor, verifique o seu endereço de email para a chave de confirmação."
"Prefix","Prefixo"
"Prefix dropdown options","Prefixo de opções de seleção"
"Price","Preço"
"Primary Billing Address","Endereço de faturação primário"
"Primary Shipping Address","Endereço de envio primário"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a coleção, abortado. Erro: %s"
"Product","Produto"
"Product ID","ID do Produto"
"Product Name","Nome Produto"
"Product Reviews","Análises ao produto"
"Product Tags","Etiquetas de Produtos"
"Purchase On","Compras ligadas"
"Purchased at","Comprado em"
"Qty","Qt"
"Recent Orders","Encomendas recentes"
"Records for "","Resultados para ""
"Records for %s store found.","Registos para %s loja encontrados."
"Redirect Customer to Account Dashboard after Logging in","Redirecionar Cliente para Painel de Controlo depois de iniciar sessão"
"Refunded","Reembolsado"
"Registered Customers","Clientes registados"
"Remove","Remove"
"Require Emails Confirmation","Requerer emails de confirmação"
"Retrieve address data","Obter dados de endereço"
"Retrieve address info","Obter informação de endereço"
"Retrieve customer addresses","Obter endereços do cliente"
"Retrieve customer data","Obter informação do cliente"
"Retrieve customer groups","Obter grupos cliente"
"Retrieve customer info","Obter informação cliente"
"Retrieve customer's groups","Obter grupos do cliente"
"Retrieve customers","Obter clientes"
"Retrieve customers info","Obter informação de clientes"
"Retrieve your confirmation link here","Obtenha o seu link de confirmação aqui"
"Retrieve your password here","Recupere aqui a sua palavra-passe"
"Sales Statistics","Estatísticas de Vendas"
"Save","Guardar"
"Save Address","Guardar endereço"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save Customer","Guardar Cliente"
"Save Customer Group","Guardar Grupo de Clientes"
"Save Password","Guardar Palavra-passe"
"Saved ","Guardado"
"Saved %d record(s)","%d registo(s) gravado(s)"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por Ponto e vírgula (;). <br/>Coloque o ponto e vírgula no início para deixar em branco a primeira opção.<br/> Deixe em branco para campo de texto."
"Send auto-generated password","Enviar palavra-passe gerada automaticamente"
"Send confirmation link","Enviar link de confirmação"
"Send From","Enviar De"
"Send welcome email","Enviar email de boas-vindas"
"Send Welcome Email after Confirmation","Enviar email de boas-vindas após confirmação"
"Sending","A Enviar"
"Sent","Enviado"
"Session Start Time","Hora de Início de Sessão"
"Set as Default Billing Address","Utilizar por omissão como endereço de faturação"
"Set as Default Shipping Address","Marcar como endereço de envio por omissão"
"Share Customer Accounts","Partilhas Conta dos Clientes"
"Ship to First name","Nome de Envio"
"Ship to Last name","Apelido de Envio"
"Shipped to First Name","Nome de Envio"
"Shipped to Last Name","Apelido de Envio"
"Shipped to Name","Nome de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart - %d item(s)","Carrinho de Compras - %s item(ns)"
"Show date of birth","Mostrar data de nascimento"
"Show Gender","Mostrar Sexo"
"Show middle name (initial)","Mostrar nome do meio (inicial)"
"Show prefix","Mostrar prefixo"
"Show suffix","Mostrar sufixo"
"Show Tax/VAT number","Mostrar Número Imposto/Taxa"
"Sign Up for Newsletter","Subscrever a Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Skip import row, required field "%s" not defined","Ignorar importação da Linha, campo obrigatório "%s" não definido"
"Skip import row, website "%s" field not exists","Ignorar importação da Linha, campo do website "%s" não existe"
"Skipping import row, required field "%s" is not defined.","A ignorar linha a importar, campo obrigatório "%s" não definido."
"Skipping import row, website "%s" field does not exist.","Ignorando registo, o campo para o site "%s" não existe"
"SKU","SKU"
"State/Province","Estado/Província"
"Status","Estado"
"Store","Loja"
"Store View","Vista da Loja"
"Street Address","Rua"
"Street Address %s","Morada %s"
"Subject","Assunto"
"Submit","Submeter"
"Subscribe","Subscrever"
"Subscribe to newsletter","Subscrever newsletter"
"Subscribed to Newsletter?","Subscrever Newsletter?"
"Suffix","Sufixo"
"Suffix dropdown options","Opções de seleção do sufixo"
"Tag Name","Nome da etiqueta"
"Tax Class","Classe de imposto"
"Tax/VAT number","NIF/VAT"
"TAX/VAT number is required.","O NIF/VAT é obrigatório"
"Telephone","Telefone"
"Text","Texto"
"Text One Line","Texto numa linha"
"Thank you for registering with %s","Obrigado por se registar com %s"
"Thank you for registering with %s.","Obrigado por se registar com %s."
"The account information has been saved.","As informações de conta foram guardadas."
"The address does not belong to this customer","Este endereço não pertence a este cliente"
"The address does not belong to this customer.","O endereço não pertence a este cliente."
"The address has been deleted.","O endereço foi apagado."
"The address has been saved.","O endereço foi guardado ."
"The address was successfully deleted","O endereço foi corretamente removido"
"The address was successfully saved","O endereço foi guardado corretamente"
"The customer does not have default billing address.","O cliente não possui um endereço de faturação padrão."
"The customer group has been deleted.","O grupo de clientes foi apagado."
"The customer group has been saved.","O grupo de clientes foi guardado."
"The group "%s" cannot be deleted","O grupo "%s" não pode ser removido"
"The group "%s" cannot be deleted.","O Grupo "%s" não pode ser removido."
"The password fields cannot be empty.","Os campos da palavra passe não podem estar vazios."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","A palavra-passe deve ter pelo menos 6 caracteres. Os espaços à esquerda ou à direita serão ignorados."
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que se segue após o nome (Sr, Dr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que vem antes do nome (Sr, Men, etc)"
"There are no items in customer's shopping cart at the moment","Não existem produtos no carrinho de compras do cliente neste momento"
"There are no items in customer's wishlist at the moment","Não existem itens na Lista de Presentes do Cliente"
"There are no items in customer's shopping cart at the moment","Não há itens no carrinho de compras do cliente neste momento"
"There is already an account with this email address. If you are sure that it is your email address, <a href="%s">click here</a> to get your password and access your account.","Já existe uma conta com este endereço de e-mail. Se tiver a certeza que é o seu endereço de e-mail,<a href="%s">clique aqui</a>para obter a sua palavra passe e acesso à sua conta."
"There was an error while deleting the address","Erro enquanto removia o endereço"
"This account is not confirmed.","Esta conta não está confirmada"
"This account is not confirmed. <a href="%s">Click here</a> to resend confirmation email.","Esta conta não está confirmada. <a href="%s">Clique aqui</ a> para reenviar email de confirmação."
"This customer email already exists","O email deste cliente já existe"
"This customer email already exists.","Este email de cliente já existe."
"This customer has no saved addresses.","Este cliente não tem endereços guardados"
"This e-mail does not require confirmation.","Este email não requer confirmação"
"This email address was not found in our records","Este endereço de email não foi encontrado nos registos"
"This email address was not found in our records.","O endereço de email não foi encontrado nos nossos registos."
"This email does not require confirmation.","Este e-mail não precisa de confirmação."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Este email será enviado ao invés do email por omissão, depois de confirmada uma conta"
"This is My Default %s Address","Este é o Meu Endereço %s por Defeito"
"This is My Primary %s Address","Este é o meu Endereço Primário %s"
"To Cart","Para o carrinho"
"Total","Total"
"Type","Tipo"
"Unknown","Desconhecido"
"Unsubscribe from newsletter","Cancelar subscrição da Newsletter"
"Update","Atualizar"
"Update customer address data","Atualizar endereços de cliente"
"Update customer data","Atualizar informações de cliente"
"Use as My Default %s Address","Usar como Meu Endereço %s por Defeito"
"Use as my default billing address","Utilizar como endereço de faturação por omissão"
"Use as my default shipping address","Utilizar como endereço de envio por omissão"
"Use as My Primary %s Address","Utilizar %s como o meu endereço primário"
"User description","Descrição Utilizador"
"View","Ver"
"View Order","Ver encomenda"
"View Order List","Ver lista de encomendas"
"Visible In","Visível em"
"Visitor","Visitante"
"Visitors Only","Apenas visitantes"
"Website","Site"
"Welcome Email","Email de boas-vindas"
"Wishlist","Lista de Presentes"
"Wishlist - %d item(s)","Lista de Presentes - %d item(ns)"
"Wrong confirmation key.","Chave de confirmação inválida."
"Wrong customer account specified.","Conta de cliente incorreta"
"Wrong email.","Email errado"
"Wrong region id by selected country","ID de Região inválido para país selecionado"
"Wrong transactional account email type","Tipo de conta transacional errado"
"Wrong transactional account email type.","Transação do tipo de conta de email inválida"
"XML","XML"
"Year","Ano"
"Yes","Sim"
"You are currently not subscribed to any newsletter.","Não tem atualmente nenhuma Newsletter subscrita"
"You are currently not subscribed to our newsletter","Não está atualmente a subscrever a nossa Newsletter"
"You are currently not subscribed to our newsletter.","Não está inscrito na nossa newsletter."
"You are currently subscribed to 'General Subscription'.","Está atualmente inscrito na 'Subscri&ccedilão Geral'"
"You are currently subscribed to our newsletter","Está atualmente a receber a nossa Newsletter"
"You are currently subscribed to our newsletter.","Está atualmente a subscrever a nossa Newsletter"
"You are now logged out","Acabou de terminar sessão"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Terminou com sucesso a sua sessão e será redirecionado para a página principal dentro de 5 segundos"
"You have logged out and will be redirected to our homepage in 5 seconds.","Acabou de Terminar Sessão e será redirecionado para a página inicial em 5 segundos."
"You have no additional address entries in your address book.","Não tem endereços adicionais no seu Livro de Endereços"
"You have no additional entries in your address book.","Não tem registos adicionar no seu Livro de Endereços"
"You have no default billing address in your address book.","Não tem nenhum endereço de faturação por omissão no seu Livro de Endereços."
"You have no default entries in your address book.","Não tem nenhumas entradas padrão no livro de endereços."
"You have no default shipping address in your address book.","Não tem endereço de destino por omissão no seu Livro de Endereços"
"You have no primary entries in your address book.","Não tem registos no seu livro de endereços"
