"%s","%s"
"%s already exist","%s já existe"
"%s already exist.","%s já existe"
"%s already exists","%s já existe"
"%s already exists.","%s já existe"
"Can't retrieve entity config: %s","Não foi possível obter a entidade de configuração: %s"
"Card type does not match credit card number","Tipo de cartão não coincide como número do cartão de crédito"
"Card type does not match credit card number.","O tipo de cartão não coincide com o número do cartão."
"Category object is required for determining product request path","A categoria do objeto é necessária para determinar o caminho do pedido do produto"
"Clear All","Limpar tudo"
"Close","Fechar"
"Code","Código"
"Collections Data","Coleções de Informação"
"Compare Products","Comparar Produtos"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","O ficheiro do controlador foi carregado mas a classe não existe"
"Cookie Domain","Domínio da Cookie"
"Cookie Lifetime","Tempo de Vida da Cookie"
"Cookie Path","Path Cookie"
"Copyright","Direitos"
"Countries options","Opções países"
"Create Store","Criar Loja"
"Create Store View","Criar Vista Loja"
"Create Website","Criar Site"
"Credit card number does not match credit card type","O número do cartão de crédito não coincide com o tipo de cartão de crédito"
"Credit card number does not match credit card type.","O número do cartão de crédito não é compatível com o tipo de cartão de crédito."
"CSS Settings","Definições CSS"
"Current package name","Nome do pacote atual"
"Custom Admin Path","Caminho de Admin Personalizado:"
"Custom admin URL","URL de administração personalizada"
"Custom Design","Desenho Personalizado"
"Custom email 1","Email personalizado 1"
"Custom email 2","Email personalizado 2"
"Custom Variables","Variáveis customizadas"
"Customer support","Apoio cliente"
"Dashboard","Painel de Controlo"
"database "%s"","base de dados "%s""
"Date From","Data início"
"Date selection:","Seleção data:"
"Date To","Data Fim"
"Date/time format "%s" is not supported.","O formato da Data/Hora não é suportado "%s""
"Debug","Debug"
"Default","Por Omissão"
"Default country","País por omissão"
"Default Description","Descrição por omissão"
"Default Keywords","Palavras-chave por omissão"
"Default no-route url","Url sem rota por omissão"
"Default Pages","Páginas por omissão"
"Default Robots","Robots por omissão"
"Default Store","Loja por omissão"
"Default Store View","Vista de Loja por omissão"
"Default Title","Título Omissão"
"Default web url","Url web por omissão"
"Delete","Remover"
"Delete Store","Remover Loja"
"Delete Store View","Remover Vista Loja"
"Delete Website","Remover Site"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Remover um %1$s não irá remover a informação associada com %1$s (ex: categorias, produtos, etc), mas o %1$s não poderá ser restaurado. É aconselhável que faça uma cópia de segurança da Base de Dados antes de remover %1$s."
"Design","Desenho"
"Design Change","Alteração ao Desenho"
"Developer","Programador"
"Developer Client Restrictions","Restrições de Clientes Programador"
"Disable email communications","Não permitir comunicações por email"
"Disable modules output","Desativar mostragem dos módulos"
"Display Demo Store Notice","Mostrar aviso de Loja de Demonstração"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Drag to move","Arraste para mover"
"Duplicate Of Template Code","Duplicado do código de Template"
"Duplicate Of Template Name","Duplicatar o Nome do Template"
"Edit Design Change","Editar Alteração ao Desenho"
"Edit Store","Editar Loja"
"Edit Store View","Editar Vista Loja"
"Edit Website","Editar site"
"Empty identifier field name","Nome do identificador do campo vazio"
"Empty main table name","Limpar o nome da tabela principal"
"Enable Charts","Permitir Gráficos"
"Enable Prototype Deprecation Log","Ativar Registo de Deprecação Prototype"
"Enabled","Ativo"
"Enabled for Admin","Ativar para o Admin"
"Enabled for Frontend","Ativar para o catálogo"
"Environment Update Time","Tempo Atualização Environment"
"Error in file: "%s" - %s","Erro no ficheiro: "%s" - %s"
"Error while saving. Please try again later.","Erro enquanto guardava. Por favor tente novamente mais tarde"
"Error: Passwords do not match","Erro: As duas palavra-passes não coincidem"
"Exceptions Log File Name","Nome do ficheiro para registo de excepções"
"Favicon Icon","Icon Favicon"
"File %s does not exist","O ficheiro %s não existe"
"File %s is not readable","O ficheiro %s não tem permissões de leitura"
"File system","Ficheiro de Sistema"
"First Day of Week","Primeiro dia da semana"
"Flush Cache Storage","Limpar Cache Armazenamento"
"Flush Magento Cache","Limpar Cache Magento"
"Footer","Rodapé"
"For latest version visit: %s","Para a última versão visite: %s"
"Forgot Password Email Sender","Remetente do Email para Esquecimento de Palavra-passe"
"Forgot Password Email Template","Template do Email para esquecimento da palavra-passe"
"General","Geral"
"General contact","Contacto Geral"
"General Settings","Opções Gerais"
"Global","Global"
"Go","Ir"
"Go Today","Ir para Hoje"
"Header","Cabeçalho"
"Host","Servidor"
"How many links to display at once.","Quantas ligações a mostrar de uma vez só."
"HTML Head","HTML Head"
"Id path for specified store","ID do Caminho para a loja especificada"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Se a posição atual do esquema não cobrir máximo página, será mostrado uma ligação para a posição atual mais/menos este valor."
"Incorrect credit card expiration date","Data de expiração do cartão de crédito errada"
"Incorrect credit card expiration date.","Data de expiração do cartão de crédito inválida"
"Input type "%value%" not found in the input types list.","Tipo de entrada "%value%" não encontrado na lista de entradas"
"Invalid base url type","Tipo de URL base inválido"
"Invalid block name to set child %s: %s","Definido nome de Bloco inválido para a sub-categoria %s: %s"
"Invalid block type: %s","Tipo de Bloco inválido: %s"
"Invalid block: %s","Bloco inválido: %s"
"Invalid connection","Conexão inválida"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento de atualização do Layout inválido, esperado Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Erro ao atualizar o layout"
"Invalid messages storage "%s" for layout messages initialization","Mensagem inválida "%s" para a inicialização de mensagens de layout"
"Invalid query","Consulta inválida"
"Invalid transactional email code: ","Código de transação de email inválido"
"Invalid websites configuration path: %s","Caminho de configuração de sites inválido: %d"
"Invalid website's configuration path: %s","Caminho de configuração do site inválido: %s"
"JavaScript Settings","Configurações JavaScript"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Deixe em branco para aceder de qualuqer localização"
"Leave empty for access from any location.","Deixe em branco para permitir o acesso a partir de qualquer local."
"Locale","Região"
"Locale options","Opções de Localização"
"Log Settings","Opções de registos"
"Logging from Mage::log(). File is located in","Registando a partir de Mage::log(). O ficheiro está localizado em {{base_dir}}/var/log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","A registar de Mage::log(). O ficheiro está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in","Registando a partir de Mage::logException(). O ficheiro está localizado em {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","A registar de Mage::logException(). O ficheiro está localizado em {{base_dir}}/var/log"
"Login is Case Sensitive","Login é Case Sensitivo"
"Logo Image Alt","Texto alternativo ao logótipo"
"Logo Image Src","Endereço do logótipo"
"Mail Sending Settings","Configuração de envio de Emails"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Confirme que a URL base termina com '/', ex: http://omeudominio.com/magento/"
"Manage Stores","Gerir Lojas"
"Match expressions in the same order as displayed in the configuration.","Coincidir expressões na mesma ordem como mostradas na configuração"
"Maximum length exceeded.","Tamanho máximo excedido."
"Media Storage","Armazenamento de Média"
"Merge CSS Files","Unir Ficheiros CSS"
"Merge CSS Files (beta)","Unificar Ficheiros CSS (beta)"
"Merge JavaScript Files","Unificar JavaScript CSS (beta)"
"Miscellaneous HTML","HTML vário"
"Miscellaneous scripts","Outros scripts"
"Model class does not exist: %s","A classe do Modelo não existe: %s"
"Model class does not exist: %s.","O modelo da classe não existe: %s."
"Model collection resource name is not defined","O nome do recurso da coleção de modelo não está definida"
"Model collection resource name is not defined.","O nome do recurso da coleção não está definido."
"Module "%1$s" can not be depended from "%2$s"","O módulo "%1$s" não pode depender de "%2$s""
"Module "%1$s" cannot depend on "%2$s".","O Módulo "%$1s" não pode depender de "%2$s""
"Module "%1$s" requires module "%2$s"","O Módulo %1$s" requer o módulo %2$s""
"Module "%1$s" requires module "%2$s".","O Modulo "%1$s" requer o módulo "%2$s"."
"Name","Nome"
"New Design Change","Nova Alteração ao Desenho"
"New Store","Nova Loja"
"New Store View","Nova Vista Loja"
"New Website","Novo site"
"Next month (hold for menu)","Mês seguinte (aguarde para menu)"
"Next year (hold for menu)","Ano seguinte (aguarde para menu)"
"No","Não"
"Offloader header","Cabeçalho Libertador Carga"
"Package","Pacote"
"Pagination","Paginação"
"Pagination Frame","Esquema Paginação"
"Pagination Frame Skip","Intervalo Esquema Navegação"
"Parent directory does not exist: %s","Diretório superior não existe: %s"
"Path "%value%" is not available and cannot be used.","O caminho "%value%" não está disponível e não pode ser utilizado."
"Path "%value%" is protected and cannot be used.","O caminho "%value%" está protegido e não pode ser utilizado."
"Path "%value%" may not include parent directory traversal ("../", "..\)."","O caminho "%value%" não pode incluir o diretório superior ("../", "..\).""
"Please choose to register or to checkout as a guest","Por favor escolhe se se deseja registar ou finalizar a encomenda como convidado"
"Please define flag code.","Por favor defina o código da bandeira"
"Please enter 6 or more characters.","Por favor insira 6 ou mais caracteres"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor insira 6 ou mais caracteres. Espaços serão removidos"
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Por favor insira 7 ou mais caracteres. A palavra-passe deve conter números e letras."
"Please enter a number 0 or greater in this field.","Por favor insira um número maior que 0 neste campo."
"Please enter a number greater than 0 in this field.","Por favor insira neste campo um número maior que 0."
"Please enter a number lower than 100.","Por favor insira um número inferior a 100."
"Please enter a valid $ amount. For example $100.00.","Por favor insira um valor válido. Por exemplo ?100.00."
"Please enter a valid credit card number.","Por favor insira um número de cartão de crédito válido"
"Please enter a valid credit card verification number.","Por favor, insira um número válido de verificação de cartão de crédito."
"Please enter a valid date between %s and %s","Por favor insira uma data válida entre %s e %s"
"Please enter a valid date equal to or greater than %s","Por favor insira uma data válida igual ou superior a %s"
"Please enter a valid date less than or equal to %s","Por favor insira uma data válida igual ou inferior a %s"
"Please enter a valid date.","Por favor insira uma data válida"
"Please enter a valid day (1-%d).","Por favor insira um dia válido (1-%d)."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor insira um email válido. Por exemplo eu@ exemplo.com"
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de fax válido. Por exemplo (123) 456-7890 ou 123-456-7890."
"Please enter a valid full date","Por favor insira uma data completa válida."
"Please enter a valid month (1-12).","Por favor insira um mês válido (1-12)."
"Please enter a valid number in this field.","Por favor insira neste campo um email válido"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor insira um número de telefone válido. Por exemplo 456-7890 ou 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Por favor insira o número de segurança social. Por exemplo: 123-45-6789"
"Please enter a valid URL Key. For example "example-page", "example-page.html" or "anotherlevel/example-page".","Por favor insira uma chave de URL válida. P.e: "exemplo-pagina", "exemplo-pagina.html", ou "outro/exemplo-pagina""
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor insira uma URL válida. Ex: http://www. exemplo.com ou www. exemplo.pt"
"Please enter a valid URL. http:// is required","Por favor insira uma URL válida. http:// é obrigatório"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Por favor insira uma URL válida. O protocolo é necessário (http://, https:// ou ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Por favor insira um XML-identifier válido. Por exemplo, algo_1, bloco5, id-4"
"Please enter a valid year (1900-%d).","Por favor insira um ano válido (1900-%s)."
"Please enter a valid zip code.","Por favor insira um código postal válido"
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please enter issue number or start date for switch/solo card type.","Por favor insira o número ou data de criação para o tipo de cartão switch/solo"
"Please enter valid password.","Por favor insira uma palavra-passe válida"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%","Por favor insira um valor CSS válido. Exemplo: 100px ou 77pt ou 20em ou .5ex ou 50%"
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Por favor insira um comprimento CSS válido. Exemplos: 100px ou 77pt ou 20em ou .5ex ou 50%."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Por favor confirme que a URL base termina com '/' (barra), ex: http://www.dominio.com/magento/"
"Please make sure your passwords match.","Por favor confirme que as duas palavras-passe coincidem"
"Please select an option.","Por favor selecione uma opção"
"Please select one of the above options.","Por favor selecione uma das opções acima"
"Please select one of the options.","Por favor selecione uma das opções"
"Please select State/Province.","Por favor selecione o Estado/Província"
"Please set available and/or protected paths list(s) before validation.","Por favor defina disponibilidade e/ou lista caminhos protegido antes validação."
"Please specify either a category or a product, or both.","Por favor, especifique uma categoria, um produto ou ambos."
"Please specify payment method.","Por favor especifique o método de pagamento"
"Please specify shipping method.","Por favor especifique o método de envio"
"Please use letters only (a-z or A-Z) in this field.","Por favor utilize apenas letras (azA-Z) neste campo"
"Please use letters only (a-z) in this field.","Por favor utilize apenas letras neste campo (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor utilize apenas números neste campo. Por favor evite espaços ou outros caracteres como pontos e vírgulas"
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor apenas utilize letras (a-z A-Z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Por favor apenas utilize letras (a-z A-Z) ou números (0-9), espaços ou # neste campo."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscores (_) in this field, first character must be a letter.","Por favor, neste campo utilize apenas letras (a-z ou A-Z), números (0-9) ou underscores(_) e o primeiro caracter tem que ser uma letra."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor utilize apenas letras (a-z) ou números (0-9) neste campo. Não são permitidos espaços ou outros caracteres"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor utilize apenas letras (a-z) ou números ou espaços e # apenas neste campo"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor utilize apenas letras (a-z), números (0-9) ou Sublinhado _ neste campo, o primeiro carácter deve ser uma letra."
"Please use only visible characters and spaces.","Por favor utilize apenas caracteres visíveis e espaços"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor use o seguinte formato de data: dd/mm/aaaa. Por exemplo 22/09/1984 para 22 de Setembro de 1984"
"Please wait, loading...","Por favor aguarde, a carregar..."
"Polls","Sondagens"
"Port (25)","Porta (25)"
"Profiler","Perfil de Desempenho"
"Prototype Deprecation Log","Registo de Prototype Deprecation"
"Redirect to Base URL if requested URL doesn't match it","Redirecionar para a URL base se a URL pedida não existir."
"Request path for specified store","Caminho pedido para a loja especificada"
"Requested file may not include parent directory traversal ("../", "..\ notation)"","O ficheiro pedido não pode ser incluído no diretório superior ("../", "..\ notation)""
"Requested invalid store "%s"","Pedido de Loja inválido "%s""
"Resource is not set","O recurso não está definido"
"Resource is not set.","Recurso não está definido"
"Return-Path Email","Return-Path do Email"
"Root Category","Categoria Raiz"
"Sales representative","Comercial"
"Save","Guardar"
"Save Store","Guardar Loja"
"Save Store View","Guardar Vista de Loja"
"Save Website","Guardar Site"
"Search","Pesquisa"
"Search Engines Optimization","Optimização Motores de Pesquisa"
"Search entire store here...","Procurar aqui na em toda a Loja"
"Secure","Seguro"
"Security","Segurança"
"Select Date","Selecionar Data"
"Select Media Database","Selecionar Base de Dados de Média"
"Sender email","Email do remetente"
"Sender name","Nome Remetente"
"Services","Serviços"
"Session Cookie management","Gestão de cookies de Sessão"
"Session Lifetime (seconds)","Tempo de vida da sessão (em segundos)"
"Session Lifetime, Seconds","Tempo útil de sessão, em segundos"
"Session Validation Settings","Opções de Validação de Sessão"
"Set as default","Marcar para Omissão"
"Set Return-Path","Definir Return-Path"
"Skin (Images / CSS)","Skin (Imagens/CSS)"
"SMTP settings (Windows server only)","Configurações SMTP (Apenas windows)"
"Sort order","Ordenar Encomenda"
"Specified date/time "%1$s" do not match format "%2$s".","A Data/Hora especificada "%1$s" não correspondem ao formato "%2$s"."
"Specify either category or product, or both.","Especifique a categoria o produto ou ambos"
"Start date can't be greater than end date","A data de início não pode ser posterior à data do fim"
"Start date cannot be greater than end date.","A data de inicio não pode ser posterior à data de fim."
"Startup page","Página de início"
"Status","Estado"
"Storage Configuration for Media","Dados Configuração Armazenamento Média"
"Store","Loja"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código da Loja apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Store Contact Address","Morada de Contacto da Loja"
"Store Contact Information","Informação de Contacto da Loja"
"Store Contact Telephone","Telefone da Loja"
"Store doesn't exist","A Loja não existe"
"Store Email Addresses","Endereços de email da Loja"
"Store Information","Informação da Loja"
"Store Name","Nome Loja"
"Store View","Vista da Loja"
"Store view doesn't exist","A Vista de Loja não existe"
"Store View Information","Informação da Vista de Loja"
"Store View Name","Nome da Vista de Loja"
"Store view was successfully deleted.","Vista de Loja corretamente removida"
"Store View was successfully saved","Vista de Loja corretamente guardada"
"Store was successfully deleted.","A Loja foi corretamente removida"
"Store was successfully saved","A Loja foi corretamente guardada"
"Store with the same code","Loja com o mesmo código"
"System","Sistema"
"System Log File Name","Nome do ficheiro de registo do Sistema"
"Template Path Hints","Sugestões de caminho do Template"
"Template Settings","Definições Template"
"Template Variables","Variáveis de Modelo"
"Templates","Templates"
"Text length does not satisfy specified text range.","O comprimento do texto não satisfaz o intervalo especificado."
"The %s you entered is invalid. Please make sure that it follows "http://domain.com/" format.","O %s que inseriu não é válido. Por favor confirme que está no formato "http://domain.com/""
"The model collection resource name is not defined.","O nome do recurso da coleção não está definido."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código da loja apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter tem que ser uma letra"
"The store does not exist","A loja não existe."
"The store has been deleted.","O loja foi eliminada."
"The store has been saved.","A loja foi gravada."
"The store view has been deleted.","A vista da loja foi eliminada."
"The store view has been saved","A vista da loja foi gravada."
"The template Name must not be empty.","O nome do Template não pode estar vazio."
"The value is not within the specified range.","O valor não está no intervalo especificado."
"The website does not exist.","O website não existe."
"The website has been deleted.","O website foi eliminado."
"The website has been saved.","O website foi gravado."
"Themes","Temas"
"This category and all its child elements","Esta categoria e todas as suas subcategorias"
"This category and its child categories only","Esta categoria e apenas a sua subcategoria"
"This category and its products only","Esta categoria e os seus produtos apenas"
"This category only","Apenas esta categoria"
"This date is a required value.","Esta data é obrigatória."
"This is a required field.","Este campo é obrigatório"
"This store cannot be deleted","Esta Loja não pode ser removida"
"This store cannot be deleted.","Esta Loja não pode ser removida."
"This store view cannot be deleted","Esta Vista de Loja não pode ser removida"
"This store view cannot be deleted.","Esta Vista de Loja não pode ser removida."
"This website cannot be deleted","Este Site não pode ser removido"
"This website cannot be deleted.","Este Site não pode ser removido."
"This will be displayed just before body closing tag","Será mostrado antes da tag que fecha o body"
"This will be displayed just before body closing tag.","Isto será mostrado antes de fechar a tag BODY."
"This will be included before head closing tag in page HTML","Será incluído antes de fechar a tag head em cada página HTML"
"This will be included before head closing tag in page HTML.","Isto será incluído antes do fim da tag HEAD na página de HTML."
"Time selection:","Seleção Hora:"
"Time:","Hora:"
"Timezone","Fuso Horário"
"Title Prefix","Prefixo do Título"
"Title Suffix","Sufixo do Título"
"Translate cache should be disabled for both Frontend and Admin inline translations","O cache de tradução deve ser desabilitado para o frontend e backend em traduções online"
"Translate cache should be disabled for both frontend and admin inline translations.","O cache de tradução deve ser inativado para a tradução no local na administração e loja"
"Translate Inline","Tradução no Local"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Tradução, blocos e outro cache de output deve estar inativo na tradução inline"
"Translations","Traduções"
"Two and more slashes together are not permitted in request path","Duas ou mais barras não são permitidas no caminho pedido"
"Two and more slashes together are not permitted in url rewrite suffix","Duas ou mais barras não são permitidas no sufixo de rescritas de URL"
"Unable to create directory: %s","Não foi possível criar o diretório: %s"
"Unable to delete store view. Please, try again later.","Não foi possível remover a Vista de Loja. Tente novamente mais tarde"
"Unable to delete store. Please, try again later.","Não foi possível remover a Loja. Por favor tente novamente mais tarde."
"Unable to delete website. Please, try again later.","Não foi possível remover o Site. Por favor tente novamente mais tarde."
"Unable to proceed. Please, try again","Erro ao executar a ação. Por favor tente novamente mais tarde."
"Unable to proceed. Please, try again.","Incapaz de completar ação. Por favor tente novamente."
"Unable to save file "%s" at "%s"","Não foi possível guardar o ficheiro "%s" em "%s""
"Unable to save file: %s","Não foi possível guardar o ficheiro: %s"
"Unknown old style column type definition: {$definition}.","Tipo de definição antigo de coluna desconhecido: {$definition}."
"Unknown scope "%s"","Âmbito desconhecido "%s""
"Unknown scope "%s".","Âmbito desconhecido "%s"."
"Unsecure","Inseguro"
"Url Options","Opções url"
"Use Custom Admin Path","Utilizar Caminho Administrativo Personalizado"
"Use custom admin URL","Utilizar URL de administração personalizada"
"Use HTTP Only","Usar apenas HTTP"
"Use Secure URLs in Admin","Usar URL seguras na administração"
"Use Secure URLs in Frontend","Usar URL seguras na Loja"
"Use SID on Frontend","Usar o SID no Frontend"
"Use Web Server Rewrites","Utilizar rescritas de URL"
"Validate HTTP_USER_AGENT","Validar HTTP_USER_AGENT"
"Validate HTTP_VIA","Validar HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validar HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validar REMOTE_ADDR"
"Validation has failed.","A validação falhou."
"Values less than 60 are ignored.","Valores inferiores a 60 são ignorados"
"Values less than 60 are ignored. Note that changes will apply after logout.","Valores com menos de 60 serão ignorados. Atenção: as alterações serão aplicadas após terminar a sessão."
"Variable Code must be unique.","Código da Variável tem que ser único."
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Atenção! Ativar esta funcionalidade não é recomendado em ambientes de produção porque representa um potencial risco de segurança."
"Web","Web"
"Website","Site"
"Website code may only contain letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","O código do website só pode conter letras (a-z), números (0-9) ou underscore (_) e o primeiro caracter tem que ser uma letra."
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","O código do Site apenas pode conter letras (a-z), números (0-9) ou sublinhado (_), o primeiro carácter deve ser uma letra"
"Website doesn't exist","O website não existe"
"Website Information","Informação do Site"
"Website Name","Nome Site"
"Website was successfully deleted.","Site corretamente removido."
"Website was successfully saved","Site corretamente guardado"
"Website with the same code","Site com o mesmo código"
"Weekend Days","Ao fim-de-semana"
"Welcome Text","Texto de boas-vindas"
"When changing media storage or selecting another media database,
                                use the Synchronize function to transfer media to the selected
                                storage. After synchronization is completed, all new media will be
                                automatically placed to the selected media storage.","Quando altera o armazenamento de média ou seleciona outra base de dados, utilize a sincronização para transferir a média para o armazenamento selecionado. Depois da sincronização ter sido finalizada, toda a nova média será automaticamente colocada no armazenamento selecionado."
"Wrong file info format","Tipo de formato de informação inválido"
"Wrong number of arguments for %s","Número de argumentos inválidos para %s"
