"Abandoned carts","Carrinhos Abandonados"
"Invalid date specified.","Data especificada inválida"
"Invoiced","Faturado"
"IP Address","Endereço IP"
"Items in Cart","Itens no carrinho"
"Items Ordered","Itens encomendados"
"Last Name","Apelido"
"Last Review","Última análise"
"Link","Ligação"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Produtos Recentemente Comparados e Removidos da Lista de Comparações pelo Visitante"
"List of Products Recently Viewed by Visitor","Lista de Produtos Recentemente Vista pelo Visitante"
"Low stock","Disponibilidade baixa"
"Match Period To","Corresponder Período A"
"Month","M&ecirc;s"
"Most Viewed","Mais Vistos"
"Name","Nome"
"New Accounts","Novas Contas"
"No","Não"
"No records found for this period.","Não foram encontrados registos para o período"
"Number Added","Número adicionado"
"Number Fulfilled","Número preenchido"
"Number Of Historical Uses","Número Histórico de Usos"
"Number of Items","Número de Itens"
"Number of items bought from a wishlist: %s","Número de itens comprados de uma lista de presentes: %s"
"Number of Ivoiced Orders","Número de encomendas faturadas"
"Number of New Accounts","Número de Novas Contas"
"Number of Orders","Número de Encomendas"
"Number of Products to display","Número de Produtos a Mostrar"
"Number of Refunded Orders","Número de encomendas devolvidas"
"Number Of Reviews","Número de Análises"
"Number of times deleted","Número de remoções"
"Number of times wishlists have been shared (emailed): %s","Número de vezes que a Lista de Presente foi partilhada (envio por email): %s"
"Number of Total Tags","Número Total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number Of Uses","Número de utilizações"
"Number of Views","Número de Visualizações"
"Number of wishlist conversions: %s","Número de conversões da Lista de Presentes: %s"
"Number of wishlist referrals: %s","Número de refer&ecirc;ncias da Lista de Presentes: %s"
"Number of wishlists: %s","Número de listas de presentes: %s"
"Number Purchased","Quantidade comprada"
"Number Viewed","Número Visto"
"Offline Refunded","Reembolso manuais"
"Online Refunded","Reembolso automático"
"Order Status","Estado da Encomenda"
"Order Taxes Report Grouped by Tax Rate","Relatório de Imposto de Encomendas Agrupado por Taxa de Imposto"
"Orders","Encomendas"
"Out of stock","Indisponível"
"Period","Período"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Etiquetas populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome Produto"
"Product Reviews","Análises ao produto"
"Product Sku","SKU do produto"
"Product Tags","Etiquetas de Produtos"
"Products","Produtos"
"Products in carts","Produtos em carrinhos"
"Products Ordered","Produtos encomendados"
"Products Report","Relatório de Produtos"
"Products Reviews","Análises de produtos"
"Products Sold","Produtos Vendidos"
"Products Tags","Etiquetas de produtos"
"Purchases","Compras"
"Quantity of Items","Quantidade de itens"
"Quantity Ordered","Quantidade encomendada"
"Rate","Taxa"
"Recently Compared","Recentemente Comparados"
"Recently Compared Products","Produtos recentemente comparados"
"Recently Viewed","Recentemente visitado"
"Recently Viewed Products","Produtos Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos recentemente vistos/comparados"
"Refresh Lifetime Statistics","Atualizar Estatísticas Acumuladas"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar Estatísticas para o Último Dia"
"Refunded","Reembolsado"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Rendimento"
"Review","Análise"
"Reviews","Análises"
"Reviews for %s","Análises para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Texto a pesquisar"
"Search Terms","Termos de pesquisa "
"Select day of the month.","Selecione o dia do mês."
"Shipping","Envio"
"Shopping Cart","Carrinho de Compras"
"Show Actual Values","Mostrar Valores Atuais."
"Show for Current","Mostrar para atual"
"Show Report","Mostrar Relatório"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Quantidade disponível"
"Submitted In","Enviado em"
"Submitted On","Submetido Em"
"Subtotal","Sub-Total"
"Tag","Etiqueta"
"Tag "%s" details","Detalhes da etiqueta "%s""
"Tag Detail","Detalhes da Etiqueta"
"Tag Name","Nome da etiqueta"
"Tag use","Utilização da etiqueta"
"Tags submited by %s","Etiquetas submetidas por %s"
"Tags Submitted by %s","Etiqueta Submetida por %s"
"Tags submitted to %s","Etiquetas submetidas para %s"
"Tax","Imposto"
"Tax Amount","Valor Imposto"
"Title","Título"
"To","Até"
"Total","Total"
"Total Invoiced","Total Faturado"
"Total Invoiced Captured","Total Fatura cativado"
"Total Invoiced not Captured","Total Fatura por cativar"
"Total Invoiced vs. Paid Report","Total Faturado vs. Relatório Pagamento"
"Total Ordered Report","Relatório Total Encomendado"
"Total Refunded","Total Reembolso"
"Total Refunded Report","Relatório Total Reembolsado"
"Total Shipped Report","Relatório do Total Enviado"
"Total Shipping","Total Envio"
"Total Tags","Total de Etiquetas"
"undefined","Indefinido"
"Updated at","Atualizado A"
"Viewed Products Grid Template","Modelo de Grelha de produtos visualizados"
"Viewed Products List Template","Modelo de Listagem de produtos visualizados"
"Visible In","Visível em"
"Wishlist Report","Relatório da Lista de Presentes"
"Wishlist vs. Regular Order","Lista de Presentes Vs Encomenda Regular"
"Wishlists","Listas de presentes"
"Year","Ano"
"Year-To-Date Starts","Início Ano até à data atual"
"Yes","Sim"
"Your Recently Compared","As suas Recentes Comparações"
"Your Recently Viewed","As suas Recentes Visualizações"
