"%1$s has been added to your wishlist. Click <a href="%2$s">here</a> to continue shopping","%1$s foi adicionado à sua lista de presentes. Clique <a href="%2$s">aqui</a> para continuar as suas compras"
"%1$s has been updated in your wishlist.","%1$s foi atualizado na sua lista de presentes."
"%1$s was successfully added to your wishlist. Click <a href="%2$s">here</a> to continue shopping","%1$s foi adicionada à sua Lista de Presentes. Clique <a href="%2$s">aqui</a> para continuar as compras"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for "%s".","%s por "%s"."
"%s's Wishlist","Lista de Presentes de %s"
"* Required Fields","* Campos obrigatórios"
"Helper for wishlist options rendering doesn't implement required interface.","O Helper para as opções da lista de presentes não implmenta a interface obrigatória."
"Last Added Items","Últimos itens adicionados"
"Message","Mensagem"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","A minha Lista de Presentes (%d item)"
"My Wishlist (%d items)","A minha Lista de Presentes (%d itens)"
"My Wishlist - <a href="%s">%d Item(s)</a>","A Minha Lista de Presentes - <a href="%s">%d Item(ns)</a>"
"My Wishlist <small>(%d)</small>","A Minha Lista de Presentes <smal>(%d)</smal>"
"My Wishlist Link","A minha Ligação da Lista de Presentes"
"Options Details","Detalhes de Opções"
"Out of stock","Indisponível"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor insira endereços de email válidos separados por vírgulas. Ex: eu@exemplo.pt, tu@exemplo.pt"
"Please enter your comments...","Por favor insira os seus comentários..."
"Please input a valid email address.","Por favor insira um endereço de email válido."
"Please, enter your comments...","Por favor insira o seus comentários"
"Product","Produto"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Produto(s) Agrupados. Apenas os pode adicionar ao carrinho separadamente."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) com opções obrigatórias. Apenas os pode adicionar ao carrinho separadamente."
"Quantity","Quantidade"
"Remove Item","Remover item"
"Remove This Item","Remover Este Item"
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Ligação RSS para Lista de Presentes de %s"
"Share options","Opções de partilha"
"Share Wishlist","Partilhar Lista de Presentes"
"Share Your Wishlist","Partilhar a sua Lista de Presentes"
"Sharing Information","Informação de Partilha"
"There was an error while adding item to wishlist.","Ocorreu um erro ao adicionar o item da Lista de presentes."
"There was an error while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item à sua lista de presentes: %s"
"There was an error while deleting item from wishlist.","Ocorreu um erro ao remover o item da Lista de presentes."
"There was an error while deleting item from wishlist: %s","Ocorreu um erro ao remover este item da lista de presentes: %s"
"This product(s) is currently out of stock","Este produto(s) está atualmente indisponível"
"This product(s) is currently out of stock:","Este(s) produto(s) estão atualmente indisponíveis"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produtos ao carrinho de compras: %s."
"Update Wishlist","Atualizar Lista de Presentes"
"User description","Descrição Utilizador"
"View Details","Ver Detalhes"
"View Product","Ver Produto"
"Visible In","Visível Em"
"Wishlist","Lista de Presentes"
"Wishlist is empty now.","Lista de Presentes Vazia"
"Wishlist Section","Secção da Lista de Presentes"
"Wishlist Sharing","Partilha da Lista de Presentes"
"You have no items in your wishlist.","Não tem itens na sua Lista de Presentes"
"You input not valid email address.","Não inseriu um endereço de email válido"
"Your Wishlist has been shared.","A sua lista de presentes foi partilhada"
"Your Wishlist was successfully shared","A sua Lista de Presentes foi corretamente partilhada"
