"-OR-","-OU-"
"Exact Match. Address and nine-digit ZIP code","Correspondência Exata. Endereço e nove dígitos Código Postal."
"Exact Match. Address and Postal Code. International","Correspondência Exata. Endereço e Código-Postal. Internacional"
"Exact Match. Address and Postal Code. UK-specific","Correspondência Exata. Endereço e Código-Postal. Específico UK"
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Exemplo: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useration=<user_ation>&amp;token=</b> Onde &lt;user_ation&gt; é 'commit' ou 'continue', dependendo da sua preferência no botão de submissão."
"Expiration Date","Data Expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Definições Express Checkout (Payflow Edition)"
"Express Checkout and Order have been canceled.","Express Checkout e Encomenda cancelado"
"Express Checkout APIs","API's Express Checkout"
"Express Checkout has been canceled.","Express Checkout cancelado"
"Express Checkout Settings","Definições Express Checkout"
"Failed to fetch reports from '%s@%s'.","Falha ao obter relatórios de '%s@%s'."
"Fee Amount","Montante da Taxa"
"Fee Debit or Credit","Taxa Debito ou Crédito"
"Fee Reversal","Taxa Anulação"
"Fee: Foreign ACH Withdrawal","Taxa: Revogação ACH Estrangeira"
"Fee: Mass Pay Request","Taxa: Pedido de Pagamento Massa"
"Fee: Web Site Payments Pro Account Monthly","Taxa: Mensalidade Conta Web Site Payments Pro"
"Fee: WorldLink Check Withdrawal","TAxa: Revogação Cheque WorldLink"
"Fetch","Obter"
"Fetch Updates","Obter Atualizações"
"Fetched %s report rows from '%s@%s'.","Obtidos %s linhas de relatório de '%s@%s'."
"Frontend Experience Settings","Definições Experiência Loja"
"Funding","Financiamento"
"General (Authorization)","Geral (Autorização)"
"General (Dividend)","Geral (Dividendo)"
"General (Funds Transfer from PayPal Account to Another)","Geral (Fundos Transferidos de uma conta Paypal para outra)"
"General (Purchase with a credit card)","Geral (Comprado com cartão de crédito)"
"General Adjustment without businessrelated event","Ajuste Geral com evento sem relação com negócios"
"General Currency Conversion","Geral: Conversão Moeda"
"General Funding of PayPal Account ","Geral: Financiamento Conta Paypal"
"General Redemption","Amortização Geral"
"General Withdrawal from PayPal Account","Revogação Geral de conta Paypal"
"General. Product no longer supported","Geral: Produto não é mais suportado"
"General: adjustment of a type not belonging to the other T12xx categories","Geral: ajustamento de tipo não pertencente a outra categoria T12xx"
"General: bonus of a type not belonging to the other T08xx categories","Geral: tipo de bónus não pertencente a outra T08xx categoria"
"General: event not yet categorized","Geral: Evento ainda não categorizado"
"General: non-payment fee of a type not belonging to the other T01xx categories","Geral: taxa não-pagamento de tipo não pertencente a outra categoria T01xx"
"General: received payment of a type not belonging to the other T00xx categories","Geral: recebido pagamento de tipo não pertencente a outra categoria T00xx"
"General: reversal of a type not belonging to the other T11xx categories","Geral: anulação de tipo não pertencente a outra categoria T11xx"
"General: temporary hold of a type not belonging to the other T15xx categories","Geral: suspensão temporária de tipo não pertencente a outra categoria T15xx"
"General: Use of PayPal account for purchasing as well as receiving payments","Geral: Utilização de conta Paypal para compras como para recebimento de pagamentos"
"General: Withdrawal from PayPal Account","Geral: Revogação de conta Paypal"
"General: Withdrawal to Non-Bank Entity","Geral: Revogação Entidade Não-Bancária"
"Get Credentials from PayPal","Obter Credenciais do Paypal"
"Gift Certificate Payment: purchase of Gift Certificate","Pagamento Certificado Presente. compra de Certificado Presente"
"Gift Certificate Redemption","Amortização Certificados Presente"
"Gross Amount","Montante Bruto"
"Header Background Color","Cor de Fundo do Cabeçalho"
"Header Border Color","Cor do Limite do Cabeçalho"
"Header Image URL","URL imagem do topo"
"Help","Ajuda"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transation"
"Hold for Dispute Investigation","Em espera para Investigação de Disputa"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio será utilizado o valor por omissão. URL personalizada pode ser cedida pelo acordo CardinalCommerce."
"If not specified, Default Country from General Config will be used","Se não especificado, será utilizador o valor da configuração geral de País por Omissão"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opção estiver ativa, os clientes poderão alterar o endereço e tipo de envio no site do Paypal. Em ambientes de produção, funciona apenas sobre https."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Não é possível efetuar um reembolso porque a transação cativa não existe."
"Incentive","Incentivo"
"Incl. Tax","Incl. Imp."
"Initiation Date","Data Início"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Definições Integral Evolution"
"Invalid transaction id","Id de transação inválido"
"Invoice #%s created","Fatura #%s criada"
"Invoice ID","ID Fatura"
"IPN "%s".","IPN "%s"."
"Issue Number","Número Edição"
"Issuer Liability","Responsabilidade do Emissor"
"It is recommended to set this value to "Debit or Credit Card" per store views.","É recomendado que defina este valor para "Cartão de Crédito ou Débito" por vista de Loja."
"It is recommended to set this value to "PayPal" per store views.","É recomendado que defina este valor para Paypal por vista de Loja."
"Items in Your Shopping Cart","Itens no seu carrinho de compras"
"Last Correlation ID","Último ID Correspondência"
"Last Transaction ID","Último ID Transação"
"Learn More","Mais informação"
"Login","Iniciar Sessão"
"Looking for PayPal? We have our own tab to the left under Sales.","À procura de Paypal? Temos um separador próprio à sua esquerda por baixo de Vendas"
"Mass Pay Payment","Efetuar Pagamentos em Massa"
"MasterCard","MasterCard"
"Matched (CVV2)","Coincide (CVV2)"
"Matched (CVV2CSC)","Coincide (CVV2CSC)"
"Matched Address only (no ZIP)","Coincide Endereço apenas (sem CP)"
"Matched Address only (no ZIP). International","Coincide Endereço apenas (sem CP). Internacional"
"Matched five-digit ZIP only (no Address)","Coincide 4 dígitos CP (Sem endereço)"
"Matched Postal Code only (no Address)","Coincide Apenas CP (Sem endereço)"
"Matched whole nine-didgit ZIP (no Address)","Coincide os 9 dígitos do Código-Postal (sem endereço)."
"Maximum image size is 750x90 px.","Tamanho máximo da imagem é 750x90 px."
"Merchant Account","Conta Comerciante"
"Merchant Country","País Comerciante"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","O Comerciante tem uma conta não-US e não tem mecanismo de Revogação"
"Merchant Liability","Responsabilidade Comerciante"
"Merchant Protection Eligibility","Proteção Responsabilidade Comerciante"
"Merchant reference ID format is not supported.","O formato da referência do ID do comerciante não é suportado."
"Merchant Referral Bonus","Bónus Referência Comerciante"
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Os comerciantes necessitam de criar uma conta Paypal para ativar os acordos de faturação. Não ative esta opção até que o Paypal confirme que os acordos estão ativos para a sua conta."
"Mobile Payment (made via a mobile phone)","Pagamento Móvel (feito através de um telemóvel)"
"N/A","N/D"
"N/A. Address not checked, or acquirer had no response. Service not available","N/D. Endereço não verificado, ou o adquirente não teve resposta. Serviço não disponível."
"N/A. Global Unavailable","N/D. Indisponível Globalmente"
"N/A. International Unavailable","N/D. Indisponível Internacional"
"N/A. Merchant has indicated that CVV2 is not present on card","N/D. O comerciante indicou que CVV2 não está presente no cartão"
"N/A. No response","N/D. Sem resposta"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/D. Não permitido para transações MOTO (Internete/Telefone)"
"N/A. Not processed","N/D. Não processado"
"N/A. Retry","N/D. Nova Tentativa"
"N/A. Service not available","N/D. Serviço não disponível"
"N/A. Service not Supported","N/D. Serviço não suportado"
"N/A. The merchant did not provide AVS information","N/D. O comerciante não forneceu informação AVS"
"N/A. The merchant has not implemented CVV2 code handling","N/D. O comerciante não implementou manuseamento código CVV2"
"N/A. Unavailable","N/D. Indisponível"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"Negative Balance","Balanço Negativo"
"Never","Nunca"
"New order status","Estado Nova Encomenda"
"No","Não"
"No Details matched","Sem detalhes encontrados"
"No Details matched. International","Sem detalhes encontrados. Internacional."
"No Liability Shift","Sem mudança de Responsabilidade"
"No Logo","Sem Logótipo"
"No match","Sem correspondência"
"No shipping method required.","Não necessário método de envio."
"None of the address information matched","Nenhuma informação do endereço com correspondência"
"Note: %s","Nota: %s"
"Nothing to fetch because of an empty configuration.","Nada a obter por causa de configuração vazia"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","De notar que o Paypal apenas consegue lidar com 10 métodos de envio. Magento irá apenas transferir os primeiros 10 mais baratos, se existirem mais que 10 disponíveis."
"Notified customer about creditmemo #%s.","Cliente notificado sobre a nota de crédito #%s."
"Notified customer about invoice #%s.","Cliente notificado sobre fatura #%s."
"Now accepting PayPal (150 X 40)","Agora Aceita Paypal (150 X 40)"
"Now accepting PayPal (150 X 60)","Agora Aceita Paypal (150 X 60)"
"Number of Child Authorizations","Número de sub-autorizações"
"Open Authorization","Autorização Ativa"
"Order","Encomenda"
"Order ID","ID Encomenda"
"Order total amount does not match paypal gross total amount","Total da encomenda nã coincide com o total do Paypal"
"Order Valid Period (days)","Período de Validade Encomenda"
"Ordered amount of %s.","Encomendado montante de %s."
"Ordering amount of %s is pending approval on gateway.","Encomenda no montante de %s está pendente aprovação no serviço de pagamentos."
"Page Background Color","Cor de Fundo da Página"
"Page Style","Estilo da Página"
"Part of the address information matched","Correspondência parcial do endereço"
"Partner","Parceiro"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Definições Pasarela integral"
"Password","Senha"
"Pay Now","Pagar Agora"
"Payer Address ID","ID Endereço Cliente"
"Payer Address Status","Estado Endereço Cliente"
"Payer Email","Email Cliente"
"Payer Email: %s","Email Cliente: %s"
"Payer ID","ID Cliente"
"Payer is not identified.","Cliente não está notificado."
"Payer Status","Estado Cliente"
"Payflow Link","Ligação Payflow"
"Payflow Link (for USA and Canada)","Ligação Payflow (para USA e Canada)"
"Payflow Link Settings","Definições Ligação Payflow"
"Payflow Pro Gateway","Sistema Pagamentos Payflow Pro"
"Payflow Pro Settings","Definições Payflow Pro"
"Payment Action","Ação Pagamento"
"Payment Applicable From","Aplicável a partir de pagamento"
"Payment from applicable countries","Pagamento de países aplicáveis"
"Payment from Specific countries","Pagamento de países específicos"
"Payment has been declined. Please try again.","O pagamento foi negado. Por favor tente novamente."
"Payment Method","Método de Pagamento"
"Payment Refund initiated by merchant","Reembolso de Pagamento iniciado pelo comerciante"
"Payments by cards + seller protection - <strong style="color:red">Contact PayPal before activating</strong>","Payments by cards + seller protection - <strong style="color:red">Contact PayPal before ativating</strong>"
"Payments by PayPal (150 X 40)","Pagamentos por PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Pagamentos por PayPal (150 X 60)"
"PayPal","PayPal"
"PayPal Accounts","Contas Paypal"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"Paypal Billing Agreement Settings","Definições Acordo de Faturação Paypal"
"PayPal Buyer Warranty Bonus","Bónus Garantia Comprador Paypal"
"PayPal certificate does not exist.","Certificado Paypal não existe."
"PayPal certificate file is empty.","O ficheiro de certificado Paypal está vazio."
"Paypal Checkout","Finalizar encomenda com Paypal"
"PayPal Debit Card Cash Advance","PayPal Balance Manager function of PayPal account"
"PayPal Debit Card Withdrawal from ATM","Revogação Cartão de Débito Paypal de caixa ATM"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","O Paypal não suporta processamento de encomendas com um montante de zero. Para finalizar a sua encomenda, prossiga para o processo normal de finalização de encomenda."
"PayPal Email","Email PayPal"
"PayPal Express Checkout","Finalização Rápida Encomenda Paypal"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","O Token PayPal Express Checkout não existe"
"PayPal Express Order Review Form","Formulário de Revisão Encomenda PayPal Express"
"PayPal Fee Information","Informação sobre taxas Paypal"
"PayPal gateway has rejected request. %s","O serviço Paypal rejeitou o pedido: %s"
"Paypal IPN Invalid %s.","IPN Paypal inválido %s."
"Paypal Logo Image URL","URL do logótipo Paypal"
"PayPal Merchant Pages Style","Página Estilos Comerciante Paypal"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","Definições PayPal Pro"
"PayPal processes all of your orders, and you get paid.","O Paypal processa todas as suas encomendas e és pago."
"PayPal Product Logo","Logótipo Produto Paypal"
"PayPal Protection Bonus","Bónus Proteção Paypal"
"PayPal Reference ID","ID Referência Paypal"
"PayPal Reference ID Type","Tipo de ID de referência Paypal"
"PayPal response hasn't required fields.","A resposta do Paypal não tem campos obrigatórios."
"PayPal retains reports for 45 days.","Relatório de retenção do Paypel para 45 dias"
"PayPal Settlement Reports","Relatórios Acordos Paypal"
"PayPal Uk Account","Conta Paypal UK"
"Paypal URL","URL Paypal"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Diret Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","Resultado Serviço Autenticação PayPal/Centinel Visa Payer"
"Pending PayPal","Pendente PayPal"
"Place an Order","Colocar Encomenda"
"Place Order","Encomendar"
"Please agree to all the terms and conditions before placing the order.","Por favor, concorde com todos os termos e condições antes de colocar a encomenda."
"Please do not refresh the page until you complete payment.","Por favor não atualize a página até ao pagamento estar concluído."
"Please do not refresh the page while the form loads.","Por favor não atualize a página enquanto o formulário carrega."
"Please select a shipping method...","Por favor selecione um método de envio..."
"Please select a valid shipping method","Por favor selecione um método de envio válido"
"Points Incentive Redemption","Amortização Incentivo Pontos"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Pagamento pré-aprovado (BillUser API), ou enviado ou recbido"
"Preapproved Payment ID","ID Pagamento pré-aprovado"
"Price","Preço"
"Problem during communication with PayPal","Ocorreu um problema durante a comunicação com Paypal"
"Process credit cards directly on your website with PayPal?s all-in-one online payment processing solution.","Processe pagamentos com cartão de crédito diretamente no seu site com a solução Paypal de pagamentos tudo-em-um."
"Process credit cards directly on your website with PayPal?s all-in-one online payment processing solution.","Processe pagamentos com cartão de crédito diretamente no seu site com a solução Paypal de pagamentos tudo-em-um."
"Process credit cards directly on your website with PayPal?s all-in-one online payment processing solution.","Processe pagamentos com cartão de crédito diretamente no seu site com a solução Paypal de pagamentos tudo-em-um."
"Process credit cards directly on your website with PayPals all-in-one online payment processing solution.","Processe pagamentos com cartão de crédito diretamente no seu site com a solução Paypal de pagamentos tudo-em-um."
"Product Name","Nome Produto"
"Proxy Host","Servidor Proxy"
"Proxy Port","Porta Proxy"
"Qty","Qt"
"Quick set-up service lets your customers securely complete transactions.","Quick set-up service lets your customers securely complete transations."
"Reauthorization","Re-Autorização"
"Received IPN verification","Verificação IPN recebida"
"Reference Information","Informação da Referência"
"Refund issued by merchant.","Reembolso feito pelo comerciante."
"Reimbursement for a chargeback.","Compensação por reembolso."
"Reimbursement of Chargeback","Reembolso ou Devolução"
"Report Date","Data de Notificação"
"Reports","Relatórios"
"Require CVV Entry","Necessária entrada CVV"
"Reversal","Reversão"
"Reversal of an adjustment.","Anulação Ajustamento"
"Reversal of General Account Hold","Anulação de Conta Geral Suspensa"
"Reversal of hold for Dispute Investigation","Anulação suspensão de Disputa de Investigação"
"Reversal of Points Usage","Anulação de Uso Pontos"
"Review Order","Rever Encomenda"
"Reward Voucher Redemption","Amortização Vale Pontos"
"Sale","Venda"
"Sales","Vendas"
"Sandbox Credentials","Credenciais Sandbox"
"Sandbox Flag","Sandbox Flag"
"Sandbox Mode","Modo Sandbox"
"Schedule","Horário"
"Schedule description is too long.","Descrição de tarefa agenda é demasiado comprida."
"Scheduled Fetching","Agendamento Obtenção"
"Select a PayPal Solution","Selecione uma Solução Paypal"
"Selected currency code (","Selecionar o código de Moeda"
"Settlement Consolidation","Consolidação de liquidação"
"Settlement of a chargeback.","Acordo de Reembolso"
"Settlement Report Settings","Definições Relatório de Acordo"
"Severe 3D Secure Card Validation","Validação Severe 3D Secure Card"
"Severe Validation Removes Chargeback Liability on Merchant","A Validação Severe retira a responsabilidade ao comerciante em caso de pedido de reembolso"
"Severe validation removes chargeback liability on merchant.","A Validação Severe retira a responsabilidade ao comerciante em caso de pedido de reembolso"
"SFTP Credentials","Credenciais SFTP"
"Shipping","Envio"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shop now using (150 X 40)","Loja agora utiliza (150 X 40)"
"Shop now using (150 X 60)","Loja agora usa (150 X 60)"
"Shortcut","Atalho"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Atalho na Vista de Produto"
"Shortcut on Shopping Cart","Atalho no Carrinho de Compras"
"Sign a billing agreement to streamline further purchases with PayPal.","Assinar um acordo de faturação para simplificar processamentos futuros Paypal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem câmbios disponíveis para esta encomenda."
"Sort order","Ordenar Encomenda"
"Specifies what the Authorization Honor Period is on the merchant?s PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Honra de Autorização na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Specifies what the Authorization Honor Period is on the merchant?s PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Honra de Autorização na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Specifies what the Authorization Honor Period is on the merchants PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Honra de Autorização na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Specifies what the Order Valid Period is on the merchant?s PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Válido Encomenda na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Specifies what the Order Valid Period is on the merchant?s PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Válido Encomenda na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Specifies what the Order Valid Period is on the merchants PayPal account. It must mirror the setting in PayPal.","Define qual é o Período Válido Encomenda na conta Paypal do Comerciante. Tem que espelhar as definições no Paypal."
"Start Date","Data início"
"Static","Estático"
"Submitting order information...","A Submeter informação encomenda..."
"Subscriber name is too long.","O nome do subscritor é demasiado comprido."
"Subscription ID","ID Subscrição"
"Subscription Payment, either payment sent or payment received","Subscrição pagamento, ou foi enviado ou recebido um pagamento."
"Subtotal","Sub-Total"
"Summary Text for Aggregated Cart","Texto Sumário para Carrinho Agregado"
"Supporting of American Express cards require additional agreement. Learn more at <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>.","Suporte para cartões American Express requer um acordo adicional. Saiba mais em <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"Switch/Solo Only","Apenas Switch/Solo"
"Test Mode","Modo de testes"
"The background color for the checkout page around the header and payment form.","A cor de fundo para a página de finalização de encomenda em volta do cabeçalho e do formulário de pagamento."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","A cor de fundo para a página de finalização de encomenda em volta do cabeçalho. Insensível a capitalização. Código da cor em seis caracteres hexadecimais em ASCII."
