"%s %s cycle.","ciclo %s %s"
"Payment Services","Serviços de Pagamento"
"Period frequency is wrong.","Frequência do período errada"
"Processor Id","Id Entidade Processadora"
"Purchase order","Comprar encomenda"
"Purchase Order Number","Número da Encomenda Adquirida"
"Purchase Order Number:","Número Encomenda:"
"Purchase Order Number: %s","Número da encomenda: %s"
"Recurring Profile Start Date","Data de Início para Perfil Recorrente"
"Recurring profile start date has invalid format.","A data de início para perfil recorrente tem um formato inválido."
"Reference ID is not set.","ID da Referência não definido."
"Repeats %s time(s).","Repetir %s vez(es)"
"Repeats until suspended or canceled.","Repetir até suspenso ou cancelado."
"Request Card Security Code","Pedir Código de Segurança do Cartão"
"Saved CC","CC Guardado"
"Schedule Description","Descrição de Agendamento"
"Schedule description must be not empty.","A descrição do agendamento não pode estar vazia"
"Send Check to","Enviar cheque para"
"Send Check to:","Enviar cheque para:"
"Severe 3D Secure Card Validation","Validação Severe 3D Secure Card"
"Severe validation removes chargeback liability on merchant.","A Validação Severe retira a responsabilidade ao comerciante em caso de pedido de reembolso"
"Shipping Amount","Valor Envio"
"Short description of the recurring payment. By default equals to the product name.","Pequena descrição do pagamento recorrente. Por omissão é igual ao nome do produto."
"Sort order","Ordenar Encomenda"
"Start Date","Data início"
"Start date has invalid format.","A data de início está num formato inválido"
"Start date is undefined.","A data de início não está definida"
"Subscriber Name","Nome do Subscritor"
"Switch/Solo Issue Number","Número de Emissão Cartão Switch/Solo"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo Start Date","Data Início Switch/Solo"
"Switch/Solo/Maestro Issue Number","Número Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data Início Switch/Solo/Maestro"
"Tax Amount","Valor Imposto"
"Test Mode","Modo de testes"
"The date when billing for the profile begins.","A data em que a faturação começa para o perfil"
"The number of billing cycles for payment period.","O número de ciclos de faturação para o período de pagamento"
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos agendados que podem falhar até que o perfil seja automaticamente suspenso."
"The payment review action is unavailable.","A ação de análise do pagamento não está disponível."
"Title","Título"
"Trial Billing Amount","Montante de Faturação Testes"
"Trial billing amount is wrong.","Montante para Faturação Período de Testes inválido"
"Trial Billing Frequency","Frequência Faturação Testes"
"Trial Billing Period Unit","Unidades Período da Faturação Testes"
"Trial billing period unit is wrong.","As Unidades do Período de Faturação Testes"
"Trial Period","Período de Avaliação"
"Trial period frequency is wrong.","Frequência para Período de Testes inválido"
"Trial period max cycles is wrong.","O máximo de ciclos no período de estes está errado."
"Two Weeks","Duas Semanas"
"Unable to save Billing Agreement:","Não foi possível guardar o Acordo de Faturação:"
"Unit for billing during the subscription period.","Unidades para faturação durante o período de subscrição."
"Unsupported currency code: %s.","Código de moeda não suportado: %s"
"Week","Semana"
"What is this?","O que é isto?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se se deve suspender o perfil de pagamento de taxa inicial falhar ou adiciona-lo ao dalso ativo."
"Wrong %s specified.","%s errado especificado."
"Wrong or empty billing amount specified.","Montante de Faturação vazio ou inválido."
"Year","Ano"
"Zero Subtotal Checkout","Finalizar com um sub-total de zero"
