" and ","e"
"Add Field Mapping","Adicionar mapeamento de campo"
"Add Field with URL:","Adicionar campo com URL:"
"Add Maintainer","Adicionar Técnico de Manutenção"
"Add More Templates","Adicionar Mais Modelos"
"Add New","Adicionar novo"
"Add New Image","Adicionar Nova Imagem"
"Add New osCommerce Profile","Adicionar novo perfil osCommerce"
"Add New Profile","Adicionar Novo Perfil"
"Add New Role","Adicionar novo acesso"
"Add new store view map","Adicionar novo mapa de visão da loja"
"Add New Template","Adicionar novo Template"
"Add New URL Rewrite","Adicionar Nova Rescrita de URL"
"Add New Urlrewrite","Adicionar nova rescrita de URL"
"Add New User","Adicionar utilizadores"
"Add New Variable","Adicionar Nova Variável"
"Add new website map","Adicionar novo Mapa de Site"
"Add Package dependency","Adicionar Dependência Pacote"
"Add PHP Extension dependency","Adicionar Dependência Extensão PHP"
"Add Subpackage dependency","Adicionar dependência de Subpacote"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar à Lista de Presentes"
"Add URL Rewrite","Adicionar Rescrita de URL"
"Add URL Rewrite for a Category","Adicionar Rescrita de URL para uma categoria"
"Add URL Rewrite for a Product","Adicionar Rescrita de URL para um produto"
"Add Urlrewrite","Adicionar rescrita URL"
"Add Urlrewrite for a Category","Adicionar rescrita URL para categoria"
"Add Urlrewrite for a Product","Adicionar rescrita de URL para produto"
"Additional Cache Management","Gestão Adicional Cache"
"Address Type:","Tipo de Endereço"
"Admin","Admin"
"Advanced Admin Section","Secção Avançada Administração"
"Advanced Profiles","Perfis Avançados"
"Advanced Section","Secção Avançada"
"Aggregate Order","Agrupar Ordem"
"AirMail Template Preview","Pré-visualização de templates AirMail"
"All","Todos"
"All Allowed Countries","Todas os Países Permitidos"
"All Cache","Todo o cache"
"All countries","Todos os países"
"All fields","Todos os campos"
"All Files","Todos os ficheiros"
"All locations","Todas as localizações"
"All possible rates were fetched, click on "Save" to apply","Todas as taxas possíveis foram obtidas, clique em "Guardar" para aplicar"
"All possible rates were fetched, please click on "Save" to apply","Todas as taxas possíveis obtidas. Cliquem em "Guardar" para aplicar"
"All rates were fetched, click on "Save" to apply","Todas as taxas foram obtidas, clique em "Guardar" para aplicar"
"All rates were fetched, please click on "Save" to apply","Todas as taxas obtidas. Cliquem em "Guardar" para aplicar"
"All Reviews","Todas as análises"
"All Store Views","Todas as Lojas"
"All Tags","Todas as etiquetas"
"All valid rates have been saved.","Todas as taxas válidas foram guardadas"
"All valid rates successfully saved","Todas as taxas válidas foram guardadas com sucesso"
"All Websites","Todos os Sites"
"Amounts","Quantidades"
"An error has occured while syncronizing media storages.","Ocorreu um erro ao sincronizar unidades de armazenadores de média"
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagens"
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar o cache JavaScript/CSS"
"An error occurred while creating the backup.","Ocorreu um erro ao criar a cópia de segurança"
"An error occurred while deleting email template data. Please review log and try again.","Ocorreu um erro ao apagar a informação de template de e-mail. Por favor reveja o log e tente de novo."
"An error occurred while deleting this role.","Ocorreu um erro ao remover este papel."
"An error occurred while deleting this set.","Ocorreu um erro ao remover este grupo."
"An error occurred while deleting this template.","Ocorreu um erro ao eliminar este template."
"An error occurred while finishing process. Please refresh the cache","Ocorreu um erro ao terminar o processo. Por favor atualize o cache."
"An error occurred while rebuilding the catalog index.","Ocorreu um erro ao reconstruir o índice do catálogo."
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ocorreu um erro ao reconstruir o Estado do Inventário do Catálogo"
"An error occurred while rebuilding the flat catalog category.","Ocorreu um erro ao reconstruir o índice de categorias fixo"
"An error occurred while rebuilding the flat product catalog.","Ocorreu um erro ao reconstruir o índice do catálogo fixo"
"An error occurred while rebuilding the search index.","Ocorreu um erro ao reconstruir o índice de pesquisa."
"An error occurred while refreshing the Catalog Rewrites.","Ocorreu um erro ao atualizar as Rescritas do Catálogo."
"An error occurred while refreshing the Layered Navigation indices.","Ocorreu um erro ao atualizar o Índice de Navegação por Atributos."
"An error occurred while saving account.","Ocorreu um erro ao guardar a conta."
"An error occurred while saving the customer.","Ocorreu um erro ao guardar o cliente"
"An error occurred while saving this configuration:","Ocorreu um erro ao guardar a configuração."
"An error occurred while saving this role.","Ocorreu um erro ao guardar o nível de acesso."
"An error occurred while saving this template.","Ocorreu um erro ao guardar o modelo."
"An error occurred while updating the selected review(s).","Ocorreu um erro ao atualizar as análises selecionada(s)"
"Any","QUALQUER"
"Any Attribute Set","Qualquer Grupo de Atributos"
"Any Group","Qualquer Grupo"
"Any Status","Qualquer Estado"
"Any Store","Qualquer Loja"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer visibilidade"
"Api Key","Chave Api"
"Api Key Confirmation","Confirmar Api Key"
"API Stability","Estabilidade da API"
"API Version","Versão API"
"API:","API:"
"Apply Theme","Aplicar Tema"
"Archive file name:","Nome de ficheiro do arquivo:"
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip tags?","Tem a certeza que deseja remover o HTML das Etiquetas?"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem a certeza que deseja remover este tema? Esta alteração irá afetar todas as aplicações."
"Are you sure you want to do this?","Tem a certeza que é o que deseja fazer?"
"Are you sure you wish to INSTALL all selected packages?","Tem a certeza que deseja INSTALAR os pacotes selecionados?"
"Are you sure you wish to UNINSTALL all selected packages?","Tem a certeza que deseja DESINSTALAR os pacotes selecionados?"
"Are you sure you wish to UPGRADE all selected packages?","Tem a certeza que deseja ATUALIZAR os pacotes selecionados?"
"Area","Área"
"As low as:","A partir de:"
"ASCII","ASCII"
"Assigned","Atribuído"
"Associated Tags","Tags associadas"
"Attribute Set Name:","Nome grupo de Atributos"
"Attribute set successfully saved.","Grupo de atributos corretamente guardado"
"Attribute set was successfully removed.","Grupo de atributos corretamente removido"
"Attributes","Atributos"
"Authors","Autores"
"Automatic","Automático"
"Available Products","Produtos disponiveís"
"Available Version","Versão Disponível"
"Average Order Amount","Quantidade média por encomenda"
"Average Orders","Preço Médio por Encomenda"
"b","b"
"Back","Voltar"
"Back to local packages","Voltar aos pacotes locais"
"Back to Login","Voltar ao início de sessão"
"Backup","Cópia de segurança"
"Backup record was deleted","Registo de Cópia de Segurança removido"
"Backup record was deleted.","O Registo do Backup foi eliminado."
"Backup successfully created","Cópia de Segurança criada corretamente"
"Backups","Cópias de segurança"
"Base currency","Moeda base"
"Bcc","Bcc"
"Bestsellers","Mais vendidos"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Faturação"
"Billing Address: ","Endereço Faturação:"
"Billing Agreement","Condições de Faturação"
"Billing Agreements","Acordos de Faturação"
"BINARY","BINARY"
"Block Information","Informação do bloco"
"Both (without and with tax)","Ambos (com e sem imposto)"
"Both IPN and PDT","PDT e IPN"
"Browse Available Extensions","Navegar em todas as Extensões Disponíveis"
"Browse Available Remote Extensions","Navegar em todas as Extensões Remotas Disponíveis"
"Browse Files...","Escolher ficheiros"
"Bundle Items","Pacote de Produtos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preços dinâmicos não pode conter opções personalizadas. As opções não serão salvas."
"Cache Control","Controlo de cache"
"Cache Control (beta)","Controlo de Cache (Beta)"
"Cache Management","Gestão Cache"
"Cache Type","Tipo Cache"
"Can not add new comment.","Não pode adicionar um novo comentário."
"Can not add tracking number.","Não pode adicionar um número de monitorização."
"Can not delete tracking number.","Não pode remover o número de monitorização."
"Can not do credit memo for order","Não pode criar uma Nota de Crédito para a encomenda"
"Can not do invoice for order","Não pode criar uma fatura para a encomenda"
"Can not do shipment for order.","Não foi possível realizar o envio para esta encomenda"
"Can not initialize shipment for adding tracking number.","Não foi possível inicializar o envio para adicionar número de monitorização."
"Can not initialize shipment for delete tracking number.","Não foi possível inicializar o envio para remover número de monitorização."
"Can not load track with retrieving identifier.","Não foi possível carregar o registo com o identificador."
"Can not retrieve tracking number detail.","Não foi possível obter os detalhes do número de monitorização"
"Can not save credit memo","Não pode guardar a nota de crédito"
"Can not save invoice","Não pode guardar a fatura"
"Can not save shipment.","Não pode guardar o envio."
"Can not send shipment information.","Não foi possível enviar a informação de envio."
"Can not update item qty","Não pode atualizar a qt. do item"
"Can't delete design change","Não foi possível remover as alterações ao Desenho"
"Can't find email address.","Não foi possível encontrar o endereço de email"
"Cancel","Cancelar"
"Cancel URL: ","URL cancelar:"
"Cannot add new comment.","Não é possível adicionar novo comentário."
"Cannot add tracking number.","Não foi possível adicionar número de monitorização."
"Cannot create an invoice without products.","Não é possível criar uma fatura sem produtos."
"Cannot create credit memo for the order.","Não é possível não é possível criar uma nota de crédito para a encomenda."
"Cannot delete the design change.","Não foi possível remover a alteração ao desenho."
"Cannot delete tracking number.","Não foi possível remover o número de monitorização."
"Cannot do shipment for the order separately from invoice.","Não pode efetuar o envio da encomenda sem a fatura."
"Cannot do shipment for the order.","Não foi possível realizar o envio para a encomenda"
"Cannot find the email address.","Não é possível encontrar o email."
"Cannot initialize shipment for adding tracking number.","Não pode iniciar o envio sem acrescentar o número do restreio."
"Cannot initialize shipment for delete tracking number.","Não foi possível inicializar o envio para remover o número de monitorização."
"Cannot load track with retrieving identifier.","Não foi possível carregar o registo com o indentificador dado."
"Cannot retrieve tracking number detail.","Não foi possível obter os detalhes do número de monitorização."
"Cannot save shipment.","Não foi possível guardar o Envio."
"Cannot save the cedit memo.","Não foi possível guardar a Nota de Crédito."
"Cannot save the credit memo.","Não foi possível guardar a Nota de Crédito."
"Cannot send shipment information.","Não foi possível enviar a informação de Envio."
"Cannot update item quantity.","Não foi possível atualizar a quantidade do item."
"Cannot update the item's quantity.","Não foi possível atualizar a quantidade do item."
"Card Verification Number","Número Verificação Cartão Crédito"
"Carrier","Transportadora"
"Catalog","Catálogo"
"Catalog Price Rules","Regras de Preços no Catálogo"
"Catalog Rewrites","Rescritas do catálogo"
"Catalog Rewrites was refreshed successfully","A atualização da rescrita do catálogo foi efetuada com sucesso"
"Catalog Rewrites were refreshed successfully","As atualizações das rescritas do catálogo foram efetuadas com sucesso"
"CatalogInventory Stock Status rebuild error. Please try again later","Erro ao reconstruir estado do inventário CatalogInventory. Tente novamente mais tarde"
"CatalogInventory Stock Status was rebuilt successfully","Estado do Inventário CatalogInventory reconstruído com sucesso"
"Categories","Categorias"
"Category","Categoria"
"Category:","Categoria:"
"Chairs","Cadeiras"
"Change Orientation","Alterar Orientação"
"Changelog","Lista de Modificações"
"Changes have been saved to theme.","Alterações ao tema guardadas."
"Channel","Canal"
"Channel:","Canal:"
"Chart is disabled. If you want to enable chart, click <a href="%s">here</a>.","Gráfico inativo. Se desejar ativá-lo clique <a href="%s">aqui</a>."
"Checkbox","Caixa de seleção"
"Child Transactions","Transações dependentes"
"Choose a selection...","Selecione as suas escolhas"
"Choose an attribute","Escolha um atributo"
"Choose Store View","Escolha vista de Loja"
"Chosen category does not associated with any website, ","A categoria escolhida não está associada a nenhum site,"
"Chosen category does not associated with any website, so url rewrite is not possible.","A categoria escolhida não está associada a nenhum site, logo não é possível utilizar rescrita de url."
"Chosen product does not associated with any website, ","O produto escolhido não está associado a nenhum site,"
"Chosen product does not associated with any website, so url rewrite is not possible.","Produtos escolhidos não estão associados a nenhum site, logo não é possível utilizar a rescrita de url."
"Clear","Limpar"
"Close","Fechar"
"CMS","CMS"
"Comment text field can not be empty.","O campo de texto de comentários não pode ficar em branco."
"Comment text field cannot be empty.","O campo de texto do comentário não pode ficar em branco."
"Comments History","Histórico de Comentários"
"Complete","Finalizado"
"Configuration","Configuration"
"Configuration successfully saved","Configurações guardadas com sucesso"
"Confirmed email:","Email confirmado:"
"Conflicts","Conflitos"
"Connect with the Magento Community","Ligar-se à comunidade Magento"
"Contents","Conteúdo"
"Continue","Continuar"
"Convert to Plain Text","Converter para texto"
"Cookie (Unsafe)","Cookie (inseguro)"
"Country","País"
"Country:","País:"
"Coupon Code","Código Cupão"
"Coupons","Cupões"
"Create","Criar"
"Create a backup","Criar uma cópia de segurança"
"Create DB Backup","Criar cópia de segurança"
"Create Extension Package","Criar Pacote de Extensão"
"Create New Attribute","Criar novo atributo"
"Create New Staging Store View","Criar uma nova Vista de Loja experimental"
"Create URL Rewrite:","Criar reescrita da URL:"
"Create Urlrewrite:","Criar rescrita de URL:"
"Created <strong>%s</strong> items","Criados <strong>%s</strong> itens"
"Created At","Criado Em"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número Cartão Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo Cartão Crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Memo #%s comment added","Nota de Crétio #%s comentário adicionado"
"Credit Memo #%s created","Nota de Crétio #%s criada"
"Credit Memo cancel error.","Erro ao cancelar Nota de Crédito."
"Credit Memo History","Histórico Nota de Crédito"
"Credit Memo total must be positive.","O total da Nota de Crédito tem que ser positivo"
"Credit Memo Totals","Total da Nota de Crédito"
"Credit Memo void error","Erro ao anular a Nota de Crédito"
"Credit Memo was successfully canceled.","A Nota de Crédito foi cancelada com sucesso"
"Credit Memo was successfully created","A Nota de Crédito foi criada com sucesso"
"Credit Memo was successfully voided","A Nota de Crédito foi anulada com sucesso"
"Credit Memos","Notas de Crédito"
"Credit memo's total must be positive.","Total das Notas de Crédito têm que ser positivo."
"CRITICAL","Crítico"
"CSV","CSV"
"CSV / Tab separated","Separação CSV / Tab"
"Currency","Moeda"
"Currency Information","Informação sobre Moeda"
"Currency Setup Section","Secção de Controlo Moeda"
"Current Configuration Scope:","Âmbito Atual de Configuração:"
"Current Month","Mês atual"
"Current Release Information","Informação da Corrente Versão"
"Custom","Personalizado"
"Custom Colors","Cores Personalizadas"
"Custom Variable "%s"","Variável custumizada "%s""
"Custom Variables","Variáveis customizadas"
"Customer","Cliente"
"Customer Group:","Grupo Cliente:"
"Customer Groups","Grupos de Clientes"
"Customer Name","Nome do Cliente"
"Customer Reviews","Análises de clientes"
"Customer Shopping Carts","Carrinhos de Compras de Clientes"
"Customer Since:","Cliente desde:"
"Customer Tax Classes","Classes de Imposto de Clientes"
"Customer was deleted","O cliente foi removido"
"Customer was successfully saved","Cliente corretamente guardado"
"Customer with the same email already exists.","Já existe um cliente com o mesmo email"
"Customers","Clientes"
"Customers by Number of Orders","Clientes pelo número de encomendas"
"Customers by Orders Total","Clientes pelo total encomendas"
"Dashboard","Painel de Controlo"
"Data Format","Formato da Data"
"Data transfer:","Transfer&ecirc;ncia de dados:"
"Database","Base de dados"
"Dataflow - Advance Profiles","Dataflow - Perfis Avançados"
"Dataflow - Advanced Profiles","Dataflow - Perfis Avançados"
"Dataflow - Profiles","Dataflow - Perfis"
"Date","Data"
"Date & Time","Data & Hora"
"Date Added","Data Adição"
"Date selection:","Seleção data:"
"Date selector","Selecionador de Data"
"Date Updated","Data de atualização"
"Date:","Data:"
"Day","Dia"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores por omissão (Admin)"
"Default Billing Address","Endereço de Faturação por Omissão"
"Default Config","Configuração por omissão"
"Default display currency "%s" is not available in allowed currencies","A moeda por omissão "%s" não está disponível na lista de moedas disponíveis"
"Default display currency "%s" is not available in allowed currencies.","A moeda por omissão "%s" não está na lista das moedas disponíveis"
"Default scope","Âmbito por omissão"
"Default Template from Locale","Template por defeitos das definições regionais"
"Default Values","Valores por Omissão"
"Delete","Remover"
"Delete %s","Remover %s"
"Delete %s '%s'","Remover %s '%s'"
"Delete File","Remover Ficheiro"
"Delete Image","Remover Imagem"
"Delete Profile","Remover Perfil"
"Delete Role","Remover Acesso"
"Delete Store","Remover Loja"
"Delete Store View","Remover Vista Loja"
"Delete Template","Remover Template"
"Delete theme","Remover Tema"
"Delete User","Remover Utilizador"
"Delete Website","Remover Site"
"Dependencies","Dependências"
"Description","Descrição"
"Description:","Descrição:"
"Deselect All","Desmarcar Todos"
"Design","Desenho"
"Design change deleted","Alteração ao Desenho removida"
"Design change saved","Alterações ao Desenho guardadas"
"Design Section","Secção de Desenho"
"Details","Detalhes"
"Developer Section","Secção de Programador"
"DHTML Date/Time Selector","Seleção da Data/hora DHTML"
"Direction:","Direção:"
"Disable","Desativar"
"Disabled","Inativo"
"Discount Amount","Valor Desconto"
"Display %s first","Mostrar primeiro %s"
"Display default currency","Mostrar moeda por omissão"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Ver %s para detalhes."
"Do not enable AVS or CSC options.  The do not work when using Payflow Link Silent Mode.","Não ative as opções AVS e CSC. Elas não funcionam quando usa o ligação Payflow em modo silencioso"
"Do not set any fields in the Billing and Shipping Information block as editable in your Payflow accout.","Não defina nenhum campo nos blocos de Informação de Envio e Faturação como editáveis na sua conta Payflow."
"Do you really want to KILL parallel process and start new indexing process?","Tem a certeza que deseja TERMINAR o processo em paralelo e iniciar um novo processo de indexação?"
"Done By:","Feito por:"
"Download","Transferir"
"Download and Install","Transferir e Instalar"
"Download Remote File","Transferir Ficheiro Remoto"
"Downloading and installing $pkg, please wait...","A transferir e instalar o pacote $pkg, por favor aguarde..."
"Downloads","Descargas"
"Drag to move","Arraste para mover"
"Drop-down","Menu de seleção"
"Edit","Editar"
"Edit Design Change","Editar Alteração ao Desenho"
"Edit Email Template","Editar Template de Email"
"Edit Filter","Editar Filtro"
"Edit Poll","Editar Sondagem"
"Edit Queue","Editar lista de espera"
"Edit Review","Editar Análise"
"Edit Role","Editar Acesso"
"Edit Store View","Editar Vista Loja"
"Edit System Template","Editar Template do Sistema"
"Edit Tag","Editar Etiqueta"
"Edit Template","Editar Template"
"Edit URL Rewrite","Editar reescrita da URL"
"Edit Urlrewrite","Editar rescrita de URL"
"Edit User","Editar utilizador"
"Edit User '%s'","Editar Utilizador '%s'"
"Edit Website","Editar site"
"Email","Email"
"Email address is empty.","Endereço de Email vazio."
"Email Address:","Endereço de Email:"
"Email Preview","Pré-visualizar email"
"Email to a Friend","Enviar por email a um amigo"
"Email:","Email:"
"Enable","Ativar"
"Enable Secure Token:","Ativar Token Seguro:"
"Enabled","Ativo"
"Enclose Values In:","valores delemitados em:"
"Entity Attributes","Atributos de Entidade"
"Entity Type","Tipo de Entidade"
"Entity type:","Tipo de Entidade:"
"Error","Erro"
"Error uploading the file","Erro ao carregar o ficheiro"
"Error while cleared Image cache. Please try again later","Erro ao limpar cache de imagens. Por favor tente novamente mais tarde."
"Error while create backup. Please try again later","Erro ao criar cópia de segurança. Por favor tente norvamente mais tarde"
"Error while deleting this role. Please try again later.","Erro ao remover acesso. Por favor tente novamente mais tarde."
"Error while deleting this set.","Erro ao remover grupo."
"Error while finished process. Please refresh cache","Erro ao terminar o processo. Por favor limpe o seu cache."
"Error while refreshed Catalog Rewrites. Please try again later","Erro ao atualizar as rescritas do catálogo. Por favor tente novamente mais tarde"
"Error while refreshed Layered Navigation Indices. Please try again later","Erro ao atualizar os índices de Navegação por Atributos. Por favor tente novamente mais tarde"
"Error while saving account. Please check all required fields","Erro ao guarda a conta. Por favor verifique todos os campos obrigatórios."
"Error while saving account. Please try again later","Erro ao guardar a conta. Por favor tente novamente mais tarde"
"Error while saving this configuration: ","Erro ao guardar configuração:"
"Error while saving this role. Please try again later.","Erro ao guardar acesso. Por favor tente novamente mais tarde"
"Error while updating selected review(s). Please try again later.","Erro ao atualizar as análises selecionadas. Por favor tente novamente mais tarde"
"example: "sitemap/" or "/" for base path (path must be writeable)","exemplo: "sitemap/" or "/" para caminho base (caminho tem que ter permissões de escrita pelo servidor)"
"example: sitemap.xml","exemplo: sitemap.xml"
"Excel","Excel"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Imp."
"Exclude","Excluir"
"Exclude (comma separated)","Excluir (separado por vírgula)"
"Expiration Date","Data Expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Export","Exportar"
"Export CSV","Exportar CSV"
"Export FAQ","Perguntas Frequentes Exportação"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extension Name","Nome da Extensão"
"Extensions","Extensões"
"Failed to add a product to cart by id "%s"","Falha ao adicionar um produto ao carrinho por id "%s""
"Failed to add a product to cart by id "%s".","Falha ao adicionar o produto com o id "%s" ao carrinho de compras."
"Failed to cancel the billing agreement.","Ocorreu um erro cancelar o acordo de faturação."
"Failed to clear the JavaScript/CSS cache.","Falha ao limpar a cache de Javascript/CSS"
"Failed to delete the billing agreement.","Ocorreu um erro remover o acordo de faturação."
"Failed to load %1$s.xml or %1$s.ser","Falha ao carregar %1$s.xml ou %1$s.ser"
"Failed to update the profile.","Erro na atualização do perfil."
"Field","Campo"
"Field Mapping","Mapeamento de campo"
"File","Ficheiro"
"File Information","Informação do ficheiro"
"File mode","Modo Ficheiro"
"File name:","Nome do Ficheiro:"
"File size should be more than 0 bytes","O Tamanho do ficheiro deve ser superior a o bytes"
"File System","Ficheiro de Sistema"
"Files","Ficheiros"
"FILTERS APPLIED","FILTROS APLICADOS"
"Final Price","Preço Final"
"Finished items creation.","Criação de Itens Finalizada"
"Finished profile execution.","Terminada a execução do perfil."
"First Invoice Created Date","Data da primeira fatura criada"
"First Name","Primeiro Nome"
"First Name is required field.","Primeiro nome é um campo obrigatório."
"First Name:","Primeiro nome:"
"Firstname","Primeiro Nome"
"Fixed","Fixo"
"Flat Catalog Category rebuild error","Erro ao reconstruir o Catálogo Fixo de Categorias"
"Flat Catalog Category was rebuilt successfully","Reconstrução do catálogo fixo de categorias finalizado com sucesso"
"Flat Catalog Product rebuild error. Please try again later","Erro ao reconstruir o Catálogo Fixo de Produtos. Por favor tente novamente mais tarde"
"Flat Catalog Product was rebuilt successfully","Reconstrução do catálogo fixo de Produtos finalizado com sucesso"
"Flush Catalog Images Cache","Limpar cache das imagens do catálogo"
"Flush JavaScript/CSS Cache","Limpar cache Javascript/CSS"
"For category","Para categoria"
"For latest version visit: %s","Para a última versão visite: %s"
"For product","Para produto"
"Forgot your password?","Esqueceu-se da sua palavra-passe?"
"Forgot your user name or password?","Esqueceu-se do seu nome de utilizador ou palavra-passe?"
"From","De"
"FTP Host[:Port]","Servidor FTP [:Port]"
"Gb","Gb"
"General Information","Informação Geral"
"General Section","Secção Geral"
"Get help for this page","Obter ajuda para esta página"
"Get Image Base64","Obter Image Base64"
"Gift Message","Mensagem de Presente"
"GLOBAL","Global"
"Global Attribute","Atributo Global"
"Global Record Search","Pesquisa Global"
"Global Search","Pesquisa Global"
"Go to messages inbox","Ir para a caixa de mensagens"
"Go to notifications","Ir para notificações"
"Go Today","Ir para Hoje"
"Google Base","Google base"
"Google Base Items","Itens do Google Base"
"Google Sitemaps","Google Sitemaps"
"Grand Total","Total"
"Grid (default) / List","Grelha (por omissão) / Lista"
"Grid only","Apenas grelha"
"Group:","Grupo:"
"Guest","Convidado"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude-nos a manter Magento estável. Reporte os erros que encontrar"
"Helper attributes should not be used in custom layout updates.","Atributos de Helpers não devem ser utilizados em atualizações personalizadas ao layout"
"Helper for options rendering doesn't implement required interface.","O helper para as opções não implementa a interface necessária"
"Home","Início"
"HTTP (unsecure)","HTTP (inseguro)"
