"Points","Pontos"
"For any first valid order placed by referred friend, your friend gets: <strong>%s extra points</strong>","Pela primeira compra confirmada feita pelo amigo(a) indicado(a), ele ganhará : <strong>%s ponto(s) extra(s)</strong>"
"Attribute restriction","Restrição de atributo"
"Only process points when reward_points attribute is filled (reward_points attribute needs to be created and must containt integer).","Só serão processados pontos quando o atributo reward_points estiver preenchido (o atributo reward_points precisa ser criado e conter número inteiro)."
"Include tax in reward point discounts (only when customer tax applied before discount in customer tax tab).","Incluir impostos nos descontos do Reward Point (apenas quando a taxa do cliente for aplicada antes do desconto na tabela de impostos do cliente)."
"Include Tax","Incluir Impostos"
"Include shipping","Incluir frete"
"Include shipping price in discount (only for magento 1.4.x or greater).","Incluir frete no desconto (somente para Magento 1.4.x ou superior)."
"Math method applied to point calculation. (For exact point value, round up method might be used when necessary.)","Método aplicado para cálculo dos pontos. (Caso seja escolhido 'valor exato', um método de arredondamento pode ser utilizado quando necessário)."
"Process currency rate","Utilizar taxa de conversão de câmbio"
"Use currency exchange rate while calculating points & discount (default magento base currency is used).","Utilização de taxa de conversão de moeda quando calcular pontos e descontos (moeda padrão do Magento será utilizada)."
"Use slider","Utilizar slider"
"Use slider to specify points.","Utilizar slider para especificar quantidade de pontos a utilizar."
"Slide to specify the amount of points to be used.","Clique e arraste para especificar a quantidade de pontos a ser utilizada."
"%s credit points","%s ponto(s) de fidelidade"
"Minimum points balance to apply","Número mínimo de pontos a se utilizar"
"The minimum amount of points a customer must have to be able to use at checkout (use 0 for no-limit).","Número mínimo de pontos que um cliente deve ter para usar em um pedido (use 0 para ilimitado)."
"You must have at least %s point(s) to apply points.","Você deve ter pelo menos %s ponto(s) para poder utilizá-los."
"You haven't invited any friend.","Você ainda não convidou nenhum(a) amigo(a)."
"Validity status field","Campo de status de validação"
"Only for magento 1.4.x or greater. Order status database field used (modify this only if you know what you are doing).","Apenas para Magento 1.4.x ou superior. Campo 'order status' do banco de dados utilizado (modifique isto somente se você souber o que está fazendo)."
"Valid statuses","Status válidos"
"Order status database field used when checking points validity (modify this only if you know what you are doing).","Campo 'order status' do banco de dados utilizado para checar a validade dos pontos (modifique isto somente se você souber o que está fazendo)."
"Points availability delay","Espera para disponibilização de pontos"
"Delaying the points availability (use 0 for no-delay).","Espera para disponibilização de pontos (use 0 para nenhuma espera)."
"Referral Email Sender","Remetente do e-mail de indicação"
"Referral confirmation Email Sender","Remetente do e-mail de confirmação de indicação"
"Design and Graphics","Design e Gráficos"
"Setup graphic design of the module","Configure o design do módulo"
"Small inline image","Imagem pequena"
"Big inline image","Imagem grande"
"Show small image","Mostrar imagem pequena"
"Show small inline image on product views.","Mostrar imagem pequena na página de detalhe dos produtos."
"Show big image","Mostrar imagem grande"
"Show big image on shopping cart area.","Mostrar imagem grande na página do carrinho"
"Email notification","E-mail de notificação"
"Email sent before points expiring","E-mail enviado antes dos pontos expirarem"
"In days.","Em dias."
"Number of days before points expiring","Número de dias antes dos pontos expirarem"
"Email Sender notification","Remetente de e-mail de notificação"
"Add/Remove points","Adicionar/Remover pontos"
"Points Balance","Balanço dos pontos"
"You also have %s expired points.","Você também tem %s ponto(s) expirados"
"Turbo Mode","Modo Turbo"
"Note that guest orders do not allow referral points to be collected.","Note que pedidos de visitantes não permitem a utilização de pontos"
"Unable guest orders","Não permitir pedidos de visitantes"
"Unable guest orders when customer orders from referral url/email.","Não permitir pedidos de visitantes quando o cliente vier de indicação via site/e-mail."
"Turbo Mode allow performance increases within cart process and customer account dashboard.","O Modo Turbo permite aumentar o desempenho junto ao processo do compra e dashboard da conta do usuário."
"Step multiplier","Passo multiplicador"
"Multiplier for the step value. e.g. if the multiplier is 10 and step value 20, the steps will be: 20, 200, 2000, etc. Default value is 1.","Multiplicador para o valor do passo.  Por exemplo: se o multiplicador é 10 e o valor do passo 20, os passos serão: 20, 200, 2000, etc. O valor padrão é 1."
"Show onepage checkout summary","Mostrar resumo da compra em uma página."
"Show summary of point usage within onepage checkout review (compatible with magento 1.4.x or greater).","Mostrar resumo do uso de pontos na revisão do pedido em uma página (compatível com Magento 1.4.x ou superior)."
"Review your <a href='%s'>shopping cart</a> to apply or modify points usage.","Revise <a href='%s'>seu carrinho</a> modificar o uso dos pontos."
"* Points are gathered only for registered clients.","* Os pontos são apenas para clientes registrados."
"Points cannot be redeemed within multiple shipping orders.","Pontos não podem ser utilizados em pedidos com múltiplos endereços."
"Wrong email address (%s).","Endereço de e-mail inválido (%s)."
"Friend name is required for email: %s on line %s.","O nome de seu(sua) amigo(a) é necessário para o e-mail : %s na linha %s."
"Email %s has been already submitted.","O e-mail %s já foi registrado anteriormente."
"Email %s was successfully invited.","O convite para o e-mail %s foi enviado com sucesso."
"There was a problem with the invitation email %s.","Houve um problema com o envio do convite para o e-mail %s."
"%s points used","%s ponto(s) utilizados"
"Birthday points","Points de aniversário"
"Referral Redirection","Redirecionamento de Fidelidade"
"Redirection path for permanent link, excluding domain name and index.php/ part (e.g. electronics/cell-phones.html). Leave blank to use default redirection.","Caminho de redirecionamento para link permanente, excluindo nome do domínio e index.php/ (por exemplo: eletronicos/celulares.html). Deixe em branco para usar redirecionamento padrão."
"Show remove link","Mostrar link remover"
"Show link from cart totals area.","Mostrar link do total do carrinho."
"Referral point rules","Regras para pontos de indicação"
"Always recalculate","Sempre recalcular"
"Always recalculate points when order is modified. Note that points allocated to an order may vary according to rules and points configuration.","Sempre recalcular pontos quando o pedido é modificado. Note que pontos atribuídos a um pedido podem variar de acordos com as regras e configurações dos pontos."
"Show money point equivalence","Mostrar pontos de equivalência em unidade monetária"
"Show to the customer point value in unit of money as well as amout of points.","Mostrar ao cliente valor dos pontos em R$ bem como a quantidade de pontos."
"Multiply By","Multiplicar por"
"Divide By","Dividir por"
"Value","Valor"
"Update Reward Points","Atualizar Pontos de Indicação"
"Only integer values accepted.","Somente valores inteiros são aceitos."
"Setup graphic design of the module.","Configure o design do módulo."
"Exports are available from 'Default config store' scope and Import is available from website scope. No referral points nor validation dates are imported.","Exportações estão disponíves à partir da 'Configuração de Loja Padrão' e importações estão disponíveis à partir do site.  Nenhum ponto de indicação ou datas de validação serão importadas."
"Email address","Endereço de E-mail"
"Order Reference","Referência de Pedido"
"Store Ids","Id da Loja"
"Import/Export","Importar/Exportar"
"Import profile","Perfil de importação"
"Not available","Não disponível"
"First column","Primeira coluna"
"Second column","Segunda coluna"
"Third column","Terceira coluna"
"Forth column","Quarta coluna"
"addthis code","Código do Addthis"
"Addthis buttons code without javascript element.","Código dos botões Addthis sem elementos javascript."
"Order statuses used to validate points (modify this only if you know what you are doing).","Status de pedidos usados para validar os pontos (modifique isto somente se souber o que está fazendo)."
"Points related to order #%s (%s)","Pontos relacionados ao pedido #%s (%s)"
"Percent usage per order","Porcentagem de pontos por pedido"
"Order total amount percent value of maximum point usage (e.g. for a total cart amount of $400, if this value is set to 50, maximum point discount will not be higher than $200).","Porcentagem máxima de pontos por pedido (por exemplo: para um pedido com total de R$400, se este valor estiver configurado para 50, o desconto máximo não poderá ser maior que R$200)."
"Referral min. order","Pedido mínimo para indicação"
"Referral minimum order amount (base subtotal amount without shipping fees) in order to process referral actions (0 for no minimum amount).","Total mínimo de pedido para indicação (baseado no subtotal sem frete) no pedido para processar ações de indicação (use 0 para deixar sem mínimo)."
