" and "," og "
"Please enter a valid URL. For example http://www.example.com or www.example.com","Skriv en gyldig URL, f.eks. http://www.eksempel.dk or www.eksempel.dk"
"Please enter a valid URL. http:// is required","Skriv en gyldig URL. http:// kræves."
"Please enter a valid credit card number.","Indtast et gyldigt kortnummer."
"Please enter a valid date.","Angiv en gyldig dato."
"Please enter a valid email address. For example johndoe@domain.com.","Skriv en gyldig e-mail-adresse, f.eks. johndoe@domain.com."
"Please enter a valid number in this field.","Skriv et gyldigt tal i dette felt."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Skriv et gyldigt telefonnummer, f.eks. 12 34 56 78."
"Please enter a valid social security number. For example 123-45-6789.","Skriv et gyldigt CPR-nummer, f.eks. 123456-7890."
"Please enter a valid value from list","Angiv en gyldig værdi fra listen"
"Please enter a valid value, ex: 10,20,30","Skriv en gyldg værdi, f.eks. 10,20,30"
"Please enter a valid zip code.","Skriv et gyldigt postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Skriv et gyldigt postnummer, f.eks. 1000."
"Please enter another credit card number to complete your purchase.","Indtast et andet kreditkortnummer for at gennemføre købet."
"Please enter valid password.","Skriv en gyldig adgangskode."
"Please make sure that your changes were saved before running the profile.","Sørg for at dine ændringer er gemt før du kører profilen."
"Please make sure your passwords match.","Sørg for at dine adgangskoder er ens."
"Please select State/Province.","Vælg region."
"Please select an option.","Vælg en mulighed."
"Please select one of the above options.","Vælg en af mulighederne ovenfor."
"Please select one of the options.","Vælg en af mulighederne."
"Please use in this field only ""a-z,0-9,_"".","Brug kun tegnene ""a-z,0-9,_"" i dette felt."
"Please use letters only (a-z) in this field.","Brug kun bogstaverne a-z i dette felt."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Brug kun tal i dette felt. Undgå mellemrum eller andre tegn som punktummer eller kommaer."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Brug kun bogstaver a-z eller tal 0-9 i dette felt. Ingen mellemrum eller andre tegn er tilladt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Brug kun bogstaver a-z, tal 0-9, mellemrum eller # i dette felt."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Brug venligst dette datoformat: dd/mm/åååå. F.eks. 17/03/2006 for den 17. marts 2006."
"Please wait while the indexes are being refreshed.","Vent mens indeks opdateres."
"Please wait, loading...","Vent venligst, indlæser..."
"Preset Theme","Forvalgt tema"
"Prev. month (hold for menu)","Forrige måned (hold for menu)"
"Prev. year (hold for menu)","Forrige år (hold for menu)"
"Preview","Forhåndsvisning"
"Previous page","Forrige side"
"Price:","Pris:"
"Product Name3 ","Product Name3 "
"Product Name3 1","Product Name3 1"
"Product Name3 2","Product Name3 2"
"Products","Produkter"
"Profile Information","Profilinformation"
"Qty:","Antal:"
"Read details","Læs detaljer"
"Reference ID","Reference-ID"
"Regular Price:","Normalpris:"
"Remote FTP","Fjern-FTP"
"Remove","Fjern"
"Required settings","Obligatoriske indstillinger"
"Reset","Nulstil"
"Reset Successful","Nulstillet"
"Resource Access","Ressourceadgang"
"Resources","Ressourcer"
"Return URL: ","Retur-URL: "
"Role Users","Rollebrugere"
"Roles","Roller"
"Roles Resources","Rolleressourcer"
"SKU:","Varenummer:"
"SORT BY:","SORTER EFTER:"
"Save","Gem"
"Save As","Gem som"
"Save Theme","Gem tema"
"Screens:","Screens:"
"Select All","Vælg alle"
"Select Date","Vælg dato"
"Select Range","Vælg interval"
"Select Template","Vælg skabelon"
"Select Visible","Vælg synlig"
"Select date","Vælg dato"
"Shipment Comments","Leveringskommentarer"
"Shipment History","Leveringshistorik"
"Shipping Address","Leveringsadresse"
"Shipping address selection is not applicable","Leveringsadresse kan ikke bruges"
"Shipping method selection is not applicable","Leveringsform kan ikke bruges"
"Show By","Vis efter"
"Show Report For","Vis rapport for"
"Show confirmation page: ","Vis bekræftelsesside: "
"Silent Post URL:","Silent Post URL:"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Nogle varer i denne ordrer har forskellige faktura- og leveringstyper. Du kan først oprette leveringen når fakturaen er oprettet."
"Sort Order","Sorteringsrækkefølge"
"Special Price:","Specialpris:"
"Spreadsheet Name:","Regnearksnavn:"
"Start Date","Startdato"
"Start/Reset Validation...","Start/nulstil validering..."
"Starting profile execution, please wait...","Starter profilkørsel, vent venligst..."
"State/Province:","Region:"
"Status","Status"
"Status:","Status:"
"Stock Quantity:","Lagerantal:"
"Store:","Butik:"
"Switch/Solo card issue number: %s","Switch/Solo-kort udstedelsesnummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo-kort startdato: %s/%s"
"Switch/Solo/Maestro Only","Kun Switch/Solo/Maestro"
"Switch/Solo/Maestro(UK Domestic) Only","Kun Switch/Solo/Maestro(UK indenrigs)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK indenrigs) udstedelsesnummer: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK indenrigs) startdato: %s/%s"
"Synchronization is required.","Synkronisering kræves."
"System busy","System optaget"
"T-Shirts","T-Shirts"
"Target","Mål"
"Tell a Friend","Tip en ven"
"Template Name","Skabelonnavn"
"The card has failed verification with the issuer bank.","Kortet fejlede verifikation hos udstedelsesbanken."
"The information in this tab has been changed.","Oplysningerne i denne fane er ændret."
"Theme configurations are successfully reset.","Temakonfigurationen er nulstillet."
"Theme label can\'t be empty","Temalabel skal udfyldes"
"Theme label:","Temalabel:"
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Der er givet forkerte betalingsoplysninger, eller tidsgrænsen er udløbet. Prøv igen."
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Dette er en demoshop. Ordrer afgivet i denne butik bliver ikke behandlet."
"This is a required field.","Dette er et obligatorisk felt."
"This tab contains invalid data. Please solve the problem before saving.","Denne fane indeholder ugyldige data. Løs venligst problemet før du gemmer."
"Thumbnail","Thumbnail"
"Time selection:","Tidsvalg:"
"Time:","Tid:"
"Title bar","Titelbjælke"
"To","Til"
"To cancel pending authorizations and release amounts that have already been processed during this payment, click Cancel.","Klik annuller for at annullere afventende autorisationer og frigive beløb som allerede er behandlet i denne betaling."
"To use Payflow Link, you must configure your Payflow Link account on the Paypal website.","For at bruge Payflow Link skal du konfigurere din Payflow Link-konto på Paypals website"
"Top 5 Search Terms","Top 5 søgeord"
"Total %d records found","I alt %d poster fundet"
"Track Order","Track ordre"
"Track this shipment","Track denne levering"
"Transaction Data","Transaktionsdata"
"Transaction Details","Transkationsdetaljer"
"Transaction ID","Transkations-ID"
"Transaction Type","Transkationstype"
"Try Magento Go for Free","Prøv Magento Go gratis"
"Type","Type"
"Type:","Type:"
"Unable to login.","Kan ikke logge ind."
"Unknown Error","Ukendt fejl"
"Unknown Error.","Ukendt fejl."
"Unselect All","Fravælg alle"
"Unselect Visible","Fravælg synlige"
"Update Preview","Opdater preview"
"Updated At","Opdateret"
"Use Default Value","Brug standardværdi"
"Use Silent Post:","Brug Silent Post:"
"User","Bruger"
"User Name","Brugernavn"
"User Roles","Brugerroller"
"User name","Brugernavn"
"Users","Brugere"
"Validation Results","Valideringsresultat"
"Value Delimiter:","Værdiseparator:"
"Verification Failed","Verifikation fejlede"
"Verification Successful","Verifikation lykkedes"
"Verification cannot be processed","Verifikationen kan ikke behandles"
"View","Vis"
"View Details","Vis detaljer"
"View Gallery","Vis galleri"
"View Statistics For","Vis statistik for"
"Visibility:","Synlighed:"
"Warning! Empty value can cause problems with CSV format.","Advarsel! Tom værdi kan give problemer med CSV-formatet."
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Advarsel!\r\nDenne handling vil fjerne brugeren fra en tildelt rolle\r\nEr du sikker?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Advarsel!\r\nDenne handling vil fjerne brugeren fra tildelte roller\r\nEr du sikker?"
"Warning: Please do not close the window during importing/exporting data","Advarsel: Luk ikke vinduet mens import/eksport kører"
"We detected that your JavaScript seem to be disabled.","Vi har detekteret at du har JavaScript slået fra."
"Web Services","Web Services"
"What is this?","Hvad er dette?"
"Yes","Ja"
"You have %s unread message(s).","Du har %s ulæst(e) besked(er)"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","Du skal have JavaScript slået til i din browser for at kunne bruge alle funktionerne på dette website."
"Your account has been deactivated.","Din konto er deaktiveret."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Din servers PHP-indstillinger tillader ikke at uploade mere end %s ad gangen. Modificer værdierne for post_max_size (i øjeblikket %s) og upload_max_filesize (i øjeblikket %s) i php.ini hvis du vil uploade større filer."
"Zip/Postal Code:","Postnummer:"
"critical","kritisk"
"items selected","varer valgt"
"major","større"
"minor","mindre"
"notice","notits"
"of %s pages","af %s sider"
"per page","per side"
"to","til"
