"# of Use","# di Utilizzo"
"%s Item(s)","%s Prodotto(i)"
"(Copy data from: %s)","(Copia dati da: %s)"
"Manage Ratings","Gestione Valutazioni"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gli articoli che non vuoi mostrare nel catalogo o nei risultati della ricerca dovrebbero avere lo stato 'DIsabilitato' nel negozio selezionato."
"Global","Globale"
"Grid","Griglia"
"Groups","Gruppi"
"Product Attribute Sets","Gruppi di Attributi Prodotto"
"Customer Group","Gruppo Clienti"
"Attribute Set","Gruppo di Attributi"
"Invalid attribute set specified, skipping the record","Gruppo di attributi non valido specificato, salto il record"
"Failed to move file: %s","Ho fallito nello spostamento del file: %s"
"Home","Home"
"Filters must be as array","I filtri devono essere un array"
"Price values for options should be specified in system base currency.","I valori di prezzo per le opzioni vanno specificati nella valuta base di sistema."
"ID","ID"
"Invalid category IDs","ID categoria non validi"
"Attribute Identifier","Identificatore Attributo"
"Filter must be as object. Set correct filter please","Il filtro deve essere un oggetto. Impostare il filtro corretto"
"Filter model name must be declared","Il nome del modello di filtro deve essere dichiarato"
"Our customer service is available 24/7. Call us at (800) DEMO-NUMBER.","Il nostro servizio cliente è attivo 24/7. Chiamaci al (800)DEMO-NUMBER."
"Product was successfully created.","Il prodotto è stato creato correttamente."
"Product was successfully saved.","Il prodotto è stato salvato correttamente."
"Image type and information need to be specified for each store view.","Il tipo di immagine e le informazioni devono essere specificati per ciascuna vista negozio."
"Media Image","Immagine"
"Image","Immagine"
"Image not exists","Immagine inesistente"
"Unable to complete request. Please try again later.","Impossibile completare la richiesta. Riprovare più tardi."
"Unable to get product id.","Impossibile recuperare id prodotto."
"Unable to find an attribute to delete","Impossibile trovare un attributo da eliminare"
"Unable to find a search term to delete","Impossibile trovare un termine di ricerca da cancellare"
"Set Root Category For Store","Imposta Categoria Principale per il Negozio"
"Set root category for this store in the <a href=""%s"">configuration</a>","Imposta categoria principale per questo negozio nella <a href=""%s"">configurazione</a>"
"Set Name","Imposta Nome"
"Set Ascending Direction","Imposta Ordine Ascendente"
"Set Descending Direction","Imposta Ordine Discendente"
"Settings","Impostazioni"
"Configurable Product Settings","Impostazioni Prodotto Configurabile"
"Pending","In sospeso"
"Back","Indietro"
"Email Address","Indirizzo Email"
"Email Address:","Indirizzo Email:"
"Additional Information","Informazioni Aggiuntive"
"Attribute Information","Informazioni Attributo"
"General Information","Informazioni Generali"
"Products Information","Informazioni Prodotti"
"Product Information","Informazioni Prodotto"
"Search Information","Informazioni Ricerca"
"Zoom In","Ingrandisci"
"Please enter a new group name","Inserire un nuovo nome gruppo"
"Integer","Intero"
"Quick Overview","Introduzione Veloce"
"Inventory","Inventario"
"Send email","Invia email"
"Subscribe to Feed","Iscriviti al Feed"
"Subscribe to RSS Feed","Iscriviti al Feed RSS"
"Base directory to upload image file is not specified","La directory par caricare le immagini non è stata specificata"
"The information in this tab has been changed.","Le informazioni in questo tab sono state cambiate."
"Letters","Lettere"
"Letters(a-zA-Z) or Numbers(0-9)","Lettere(a-zA-Z) o Numeri(0-9)"
"List","Lista"
"Compare Products List","Lista Confronto Prodotti"
"Compare list successfully cleared","Lista confronto svuotata correttamente"
"Categories Sitemap","Mappa del sito per categorie"
"Site Map","Mappa Sito"
"Maximum Qty Allowed in Shopping Cart","Massima Qtà Permessa nel Carrello"
"Message:","Messaggio:"
"Minimum Qty Allowed in Shopping Cart","Minima Qtà Permessa nel Carrello"
"Sender:","Mittente:"
"List Mode","Modalità Lista"
"Attribute Model","Modello Attributo"
"Attribute model not defined","Modello attributo non definito"
"Backend Model","Modello Backend"
"Frontend Model","Modello Frontend"
"Source Model","Modello Sorgente"
"Edit","Modifica"
"Edit Product Attribute","Modifica Attributo Prodotto"
"Edit Product Attribute ""%s""","Modifica Attributo Prodotto ""%s"""
"Edit Attribute Set '%s'","Modifica Gruppo di Attributi '%s'"
"Edit Search","Modifica Ricerca"
"Edit Search '%s'","Modifica Ricerca '%s'"
"Globally Editable","Modificabile Globalmente"
"Show","Mostra"
"View Details","Mostra Dettagli"
"Display in Suggested Terms","Mostra in Termini Suggeriti"
"Category Navigation:","Navigazione Categorie:"
"Store","Negozio"
"Invalid store specified","Negozio non valido specificato"
"Invalid store specified, skipping the record","Negozio non valido specificato, salto il record"
"No layout updates","Nessun aggiornamento di layout"
"No image","Nessuna Immagine"
"None","Nessuno"
"No","No"
"Name","Nome"
"First Name","Nome"
"Attribute Name:","Nome Attributo:"
"Attrib. Set Name","Nome Gruppo Attr."
"Name In %s","Nome In %s"
"Product Name","Nome Prodotto"
"Tag Name","Nome Tag"
"Name:","Nome:"
"Name<br/>(For internal use)","Nome<br/>(Per uso interno)"
"There are no %s available.","Non ci sono %s disponibili."
"There are no customers for this alert","Non ci sono clienti per questo avviso"
"No options of this product are available.","Non ci sono opzioni per questo prodotto."
"There are no products matching the selection.","Non ci sono prodotti corrispondenti alla selezione."
"Not shared with other products","Non condiviso con altri prodotti"
"You have no items to compare.","Non hai articoli da confrontare."
"No product collections found","Non ho trovato collezioni di prodotti"
"You cannot update this attribute","Non puoi aggiornare questo attributo"
"You cannot delete this attribute","Non puoi eliminare questo attributo"
"You cannot edit this attribute","Non puoi modificare questo attributo"
"You cannot remove system attribute from this set.","Non puoi rimuovere gli attributi di sistema da questo gruppo."
"Notify for Quantity Below","Notifica per Quantità Inferiore a"
"Decimal Number","Numero Decimale"
"Number of results<br/>(For last time placed)","Numero di risultati<br/>(Dall'ultima volta)"
"Number of Uses","Numero di Utilizzi"
"Integer Number","Numero Intero"
"Products per Page on List default value","Numero predefinito di Prodotti per Pagina in vista Elenco"
"Products per Page on Grid default value","Numero predefinito di Prodotti per Pagina in vista Griglia"
"New Category","Nuova Categoria"
"New Search","Nuova Ricerca"
"New Products","Nuovi Prodotti"
"New Product Attribute","Nuovo Attributo Prodotto"
"New Set Name","Nuovo Nome Gruppo"
"New Product","Nuovo Prodotto"
"OR","O"
"Required","Obbligatorio"
"Option","Opzione"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opzione di attributo non valida specificata per l'attributo %s (%s), salto il record"
"Invalid option id specified for %s (%s), skipping the record","Opzione non valida specificata per %s (%s), salto il record"
"Options is required","Opzione richiesta"
"Option:","Opzione:"
"Options","Opzioni"
"Currently Shopping by","Opzioni Attive"
"Shopping Options","Opzioni Disponibili"
"Product Options","Opzioni Prodotto"
"Shop by","Opzioni Shopping"
"Sort by","Ordina per"
"Search Engine Optimizations","Ottimizzazioni per Motori di Ricerca"
"Page:","Pagina:"
"Panasoic HDC-SD1 High Definition Camcorder","Panasoic HDC-SD1 Alta definizione Camcorder"
"Clean boot cut women's business pant","Pantaloni classici svasati da donna"
"Roll Over for preview","Passa sopra col mouse per anteprima"
"per page","per pagina"
"For internal use. Must be unique with no spaces","Per uso interno. Deve essere unico senza spazi"
"Percentage","Percentuale"
"Sort Order","Posizionamento"
"Position","Posizione"
"Position of attribute in layered navigation block","Posizione dell'attributo nel blocco di navigazione a livelli"
"Position In Layered Navigation","Posizione nella Navigazione a Livelli"
"Watermark Position","Posizione Watermark"
"You may also be interested in the following product(s)","Potresti essere interessato al seguente prodotto/i"
"Prev","Prec."
"Previous","Precedente"
"Backorders","Preordini"
"Feature Products","Presenta Prodotti"
"Prices","Prezzi"
"Price","Prezzo"
"Regular Price:","Prezzo Pieno:"
"Default price","Prezzo predefinito"
"Special Price","Prezzo Speciale"
"Special Price:","Prezzo Speciale:"
"Old Price:","Prezzo Vecchio:"
"Price:","Prezzo:"
"Problem saving the collection, aborting. Error: %s","Problema durante il salvataggio della collezione, interrompo. Errore: %s"
"Products","Prodotti"
"Up-sells","Prodotti Alternativi"
"Cross-sell Products","Prodotti Consigliati"
"Related Products","Prodotti Correlati"
"Associated Products","Prodotti Correlati"
"Category Products","Prodotti in Questa Categoria"
"Best Selling Products","Prodotti più venduti"
"Customers Tagged Product","Prodotti Taggati dai Clienti"
"Product %s successfully added to compare list","Prodotto %s aggiunto correttamente alla lista confronti"
"Product %s successfully removed from compare list","Prodotto %s rimosso correttamente dalla lista confronti"
"Product with this combination of attributes already associated to configurable.","Prodotto con questa combinazione di attributi già associato a configurabile."
"Configurable Product","Prodotto Configurabile"
"Product duplicated","Prodotto duplicato"
"Product deleted","Prodotto eliminato"
"Product In Websites","Prodotto nei Siti web"
"Grouped Product","Prodotto Raggruppato"
"Simple Product","Prodotto Semplice"
"Properties","Proprietà"
"Attribute Properties","Proprietà Attributo"
"Frontend Properties","Propriet� Frontend"
"System Properties","Proprietà Sistema"
"Next","Prossimo"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Pu� essere utilizzato solo con i tipi di input per il catalogo Dropdown, Selezione Multipla e Prezzo"
"Can be used only with catalog input type Dropdown","Pu� essere utilizzato solo con il tipo di input per il catalogo Dropdown"
"Minimum Qty for Item's Status to be Out of Stock","Q.tà minima affinchè l'articolo sia considerato esaurito"
"Default Qty","Qta predefinita"
"Qty","Qtà"
"Qty Uses Decimals","Qtà Usa Decimali"
"Best Value","Qualità/Prezzo"
"This search no longer exists","Questa ricerca non esiste più"
"This attribute no longer exists","Questo attributo non esiste più"
"This bundle is out of stock.","Questo bundle è esaurito."
"This group contains system attributes. Please move system attributes to another group and try again.","Questo gruppo include attributi di sistema. Spostare gli attributi di sistema in un altro gruppo e riprovare."
"This tab contains invalid data. Please solve the problem before saving.","Questo tab contiene dati non validi. Risolvere il problema prima di salvare."
"Review successfully deleted","Recensione eliminata correttamente"
"Review was successfully saved","Recensione salvata correttamente"
"Review was saved successfully","Recensione salvata correttamente"
"Reviews","Recensioni"
"Customers Reviews","Recensioni dei Clienti"
"Customer Reviews","Recensioni del Cliente"
"Reviews and Ratings","Recensioni e Valutazioni"
"Pending Reviews","Recensioni in Sospeso"
"Products Reviews","Recensioni Prodotti"
"Product Reviews","Recensioni Prodotto"
"Records for ""","Record per """
"Redirect","Redirect"
"Search was successfully deleted","Ricerca eliminata correttamente"
"Searchable","Ricercabile"
"Catalog Searches","Ricerche nel Catalogo"
"Line %d, SKU: %s","Riga %d, Cod.: %s"
"Line %d, Email: %s","Riga %d, Email: %s"
"Zoom Out","Rimpicciolisci"
"Remove","Rimuovi"
"Remove Email","Rimuovi Email"
"Remove Product","Rimuovi Prodotto"
"Remove Product From Websites","Rimuovi Prodotto dai Siti Web"
"Remove This Item","Rimuovi Questo Articolo"
"Clear All Items","Rimuovi Tutto"
"save %s%%","risparmia %s%%"
"Results","Risultati"
"Root","Root"
"Notify Low Stock RSS","RSS Notifica Scarsa Quantità"
"Pending Reviews RSS","RSS Recensioni in Sospeso"
"Skip import row, store ""%s"" field not exists","Salto la riga, il campo ""%s"" del negozio non esiste"
"Skip import row, required field ""%s"" not defined","Salto la riga, non definito un campo obbligatorio ""%s"""
"Skip import row, required field ""%s"" for new products not defined","Salto la riga, non definito un campo obbligatorio ""%s"" per nuovi prodotti"
"Skip import row, required field ""%s"" for new customer not defined","Salto la riga, non definito un campo obbligatorio ""%s"" per un nuovo cliente"
"Skip import row, is not valid value ""%s"" for field ""%s""","Salto la riga, valore non valido ""%s"" per il campo ""%s"""
"Save","Salva"
"Save Attribute","Salva Attributo"
"Save Category","Salva Categoria"
"Save And Continue Edit","Salva e Continua Modifiche"
"Save Attribute Set","Salva Gruppo di Attributi"
"Save Search","Salva Ricerca"
"Saved ","Salvato "
"Sandra Mashiso Red Business shoes","Sandra Mashiso Scarpe Eleganti"
"Kamper state-of-art Extra Comfort runners","Scarpe da corsa Kamper Extra Comfort"
"Choose option...","Scegli una opzione..."
"Choose an Option...","Scegli una Opzione..."
"Discount","Sconto"
"If you do not specify an option value for a store then the default value will be used.","Se non si specifica un valore di opzione per un negozio, sarà utilizzato il valore predefinito."
"Product Image Placeholders","Segnaposti dell'Immagine del Prodotto"
"Are you sure you want to delete this attribute set?","Sei sicuro di voler cancellare questo gruppo di attributi?"
"Are you sure you want to delete this category?","Sei sicuro di voler eliminare questa categoria?"
"Are you sure you would like to remove this item from the compare products?","Sei sicuro di voler rimuovere questo articolo dal confronto?"
"Are you sure you would like to remove all item from compare products?","Sei sicuro di voler rimuovere tutti gli articoli dal confronto?"
"Are you sure?","Sei sicuro?"
"Select Configurable Attributes ","Seleziona Attributi Configurabili"
"select all","seleziona tutto"
"Please select static block ...","Seleziona un blocco statico ..."
"Please select products for attributes update","Selezionare prodotti per aggiornamento attributi"
"Please select product(s)","Selezionare prodotto/i"
"Please select one or more attributes.","Selezionare uno o più attributi."
"Multiple Select","Selezione Multipla"
"Page Title Separator","Separatore Titolo Pagina"
"Browse By","Sfoglia Per"
"Yes","Si"
"There was an error while adding products to websites","Si è verificato un errore durante l'aggiunta dei prodotti ai siti web"
"There was an error while removing products from websites","Si è verificato un errore durante la rimozione dei prodotti dai siti web"
"Yes/No","Si/No"
"Synonym For","Sinonimo per"
"Synonym for","Sinonimo per"
"System","Sistema"
"Products Sitemap","Sitemap Prodotti"
"Websites","Siti web"
"Website","Sito web"
"Static block only","Solo blocco statico"
"Products only","Solo prodotti"
"Maximum %d email addresses allowed.","Sono consentiti al massimo %d indirizzi email."
"Bottom/Right","Sotto/Destra"
"Bottom/Left","Sotto/Sinistra"
"Product Attribute Specs","Specifiche Attributi Prodotto"
"Check items to add to the cart or ","Spunta gli articoli da aggiungere al carrello oppure"
"Print This Page","Stampa Questa Pagina"
"Static","Statico"
"Status","Stato"
"Search Query","Stringa di Ricerca"
"Product URL Suffix (cache refresh needed)","Suffisso URL Prodotto (necessario refresh della cache)"
"Backend Table","Tabella Backend"
"Product Tags","Tag del Prodotto"
"Search Term was successfully saved","Termine di Ricerca salvato correttamente"
"Text","Testo"
"Selected Product Types","Tipi di Prodotto Selezionati"
"Type","Tipo"
"Data Type for Saving in Database","Tipo di Dati per il Salvataggio nel Database"
"Invalid image file type","Tipo di file immagine non valido"
"Catalog Input Type for Store Owner","Tipo di Input per il Catalogo per il Proprietario del Negozio"
"Product Type","Tipo di Prodotto"
"Invalid product type specified, skipping the record","Tipo di prodotto non valido specificato, salto il record"
"Backend Table Title","Titolo Tabella Backend"
"All Reviews","Tutte le Recensioni"
"All","Tutti"
"ALL GROUPS","TUTTI I GRUPPI"
"All Product Types","Tutti i Tipi di Prodotto"
"Last Notification","Ultima Notifica"
"Search Term with such search query already exist.","Un Termine di Ricerca con questa stringa esiste già."
"Url","Url"
"Redirect URL","URL del Redirect"
"Use Config Settings","Usa Impostazioni Config"
"Use In Layered Navigation","Usa nella Navigazione a Livelli"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usa nella Navigazione a Livelli<br/>(Si può usare solo con tipo di input 'Dropdown' per il catalogo)"
"Use in advanced search","Usa nella ricerca avanzata"
"Use in quick search","Usa nella ricerca veloce"
"Use To Create Configurable Product","Usa per Creare Prodotto Configurabile"
"Use categories path for product URLs","Usa percorso categorie per la URL del prodotto"
"Use Default Value","Usa Valore Predefinito"
"Go to Home Page","Vai alla Home Page"
"Input Validation for Store Owner","Validazione Input per Proprietario Negozio"
"Default value","Valore predefinito"
"Unique Value","Valore Unico"
"Unique Value (not shared with other products)","Valore Unico (non condiviso con altri prodotti)"
"Values Required","Valori Obbligatori"
"Default Values","Valori Predefiniti"
"Varchar","Varchar"
"View as","Vedi come"
"See all %s","Vedi tutti %s"
"Visible","Visibile"
"Visible on Catalog Pages on Front-end","Visibile nelle Pagine del Catalogo sul Front-end"
"Visibility","Visibilità"
"Store View","Vista Negozio"
"Empty","Vuoto"
"Zynicon Cinema Display 19-inch LCD monitor","Zynicon Cinema Display 19 pollici  LCD monitor"
"Zynicon Clear Blue 24-inch LCD monitor","Zynicon Clear Blue 24 pollici LCD monitor"
"[GLOBAL]","[GLOBALE]"
