"* Required Fields","* Campi Obbligatori"
"There are no items in customer's shopping cart at the moment","Non ci sono al momento articoli nel carrello del cliente"
"There are no items in customer's shopping cart at the moment","Non ci sono al momento articoli nel carrello del cliente"
"You have no additional entries in your address book.","Non hai altri occorrenze nella tua rubrica."
"You have placed no orders yet.","Non hai ancora inserito nessun ordine."
"You have placed no products yet.","Non hai ancora inserito nessun prodotto."
"You have not set a primary billing address.","Non hai impostato l'indirizzo principale di fatturazione."
"You have not set a primary shipping address.","Non hai impostato l'indirizzo principale di spedizione."
"You have no default shipping address in your address book.","Non hai nessun indirizzo di consegna di default nella tua rubrica."
"You have no default billing address in your address book.","Non hai nessun indirizzo di fatturazione di default nella tua rubrica."
"You have no primary entries in your address book.","Non hai occorrenze principali nella tua rubrica."
"You have no additional address entries in your address book.","Non hai ulteriori occorrenze nela tua rubrica."
"Not Sent","Non inviato"
"Can't share customer accounts global.","Non pu&ograve; condividere i conti dei clienti di tutto il mondo."
"You are currently not subscribed to our newsletter","Non sei iscritto alla newsletter"
"New passowrd","Nuova password"
"New Password","Nuova Password"
"New Customers","Nuovi Clienti"
"New Customer Groups","Nuovi Gruppi clienti"
"New account","Nuovo account"
"New Customer","Nuovo Cliente"
"New Group","Nuovo Gruppo"
"New Customer Group","Nuovo Gruppo Clienti"
"New Address Entry","Nuovo Indirizzo"
"New Address","Nuovo Indirizzo"
"New Customer Address","Nuovo Indirizzo Cliente"
"Offline","Offline"
"Online","Online"
"or","oppure"
"Password Options","Opzione Password"
"Create New Account Options","Opzioni Creazione Nuovo Account"
"Account Sharing Options","Opzioni di Condivisione Accout"
"Session Start Time","Ora di inizio sessione"
"Order #","Ordine #"
"Order #%s (%s)","Ordine #%s (%s)"
"Items Order","Ordine Articoli"
"Orders","Ordini"
"Recent Orders","Ordini Recenti"
"Guest","Ospite"
"Country","Paese"
"Password","Password"
"Current Password","Password Attuale"
"Invalid current password","Password attuale non valida"
"PDF","PDF"
"Per Website","Per sito web"
"Price","Prezzo"
"Ext. Price","Prezzo Ext."
"Problem saving the collection, aborting. Error: %s","Problema nel salvare la collezione, annullamento. Errore: %s"
"Product","Prodotto"
"Qty","Qta"
"Amount","Quantit&agrave;"
"This is My Primary %s Address","Questo è il Mio Indirizzo %s Principale"
"This customer has no saved addresses.","Questo cliente non ha indirizzi memorizzati."
"This email address was not found in our records","Questo indirizzo email non è stato trovato nel nostro database"
"Product Reviews","Recensioni Prodotti"
"Records for ""","Record per """
"Retrieve your password here","Recupera la tua password"
"Refunded","Rimbgorsato"
"Remove","Rimuovi"
"Address Book","Rubrica"
"Skip import row, required field ""%s"" not defined","Salta importazione riga, il campo obbligatorio ""%s"" non &egrave; stato definito"
"Skip import row, website ""%s"" field not exists","Salta importazione riga, il campo sito web ""%s"" non esiste"
"Save","Salva"
"Save Customer","Salva cliente"
"Save Customer Group","Salva Gruppo Clienti"
"Save Address","Salva Indirizzo"
"Save Password","Salva Password"
"Saved ","Salvato "
"Hello, %s!","Salve, %s!"
"Unknown","Sconosciuto"
"If you have an account with us, please log in.","Se sei gi&agrave; registrato, effettua il login."
"You are currently subscribed to our newsletter","Sei iscritto alla newsletter"
"You are currently subscribed to our newsletter.","Sei iscritto alla newsletter."
"Are you sure that you want to remove this item?","Sei sicuro di voler eliminare questo articolo?"
"Are you sure you want to delete this address?","Sei sicuro di voler eliminare questo indirizzo?"
"Are you sure you want to cancel adding of this address?","Sei sicuro di voler interrompere l'inserimento di questo indirizzo"
"Are you sure the you want to remove this item?","Sei sicuro di voler rimuovere questo articolo?"
"Are you sure?","Sei sicuro?"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sei uscito correttamente e sarai indirizzato alla pagina principale entro 5 secondi."
"Please select","Seleziona"
"Please select region, state or province","Selezionare regione, stato o provincia"
"Array of Entity collections is expected","Serie di collezioni entità mancante"
"Invalid attribute set specified, skipping the record","Set di attributi specificato non valido, record non processato"
"There was an error while deleting the address","Si egrave; verificato un errore durante la cancellazione dell'indirizzo"
"Website","Sito Web"
"Customers Only","Solo Clienti"
"Visitors Only","Solo Ospiti"
"Subscribe","Sottoscrivi"
"Invalid option id specified for %s (%s), skipping the record","Specificata un'opzione id non valida per %s (%s), record non inserito"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Specificata una opzione non valida per l'attributo %s (%s), record non processato"
"Ship to Last name","Spedisci al Cognome"
"Ship to First name","Spedisci al Nome"
"Shipped to Last Name","Spedito a Cognome"
"Shipped to First Name","Spedito al Nome"
"Shipped to Name","Spedito al Nominativo"
"Sales Statistics","Statistiche vendite"
"Status","Stato"
"State/Province","Stato/Provincia"
"Product Tags","Tag Prodotti"
"Telephone","Telefono"
"Email Template","Template Email"
"Forgot Email Template","Template Email Dimenticato"
"Text","Testo"
"Text One Line","Testo Una Linea"
"Type","Tipo"
"Subject","Titolo"
"Back to Login","Torna al Login"
"Total","Totale"
"Grand Total","Totale Complessivo"
"Grand Total: %s","Totale Complessivo: %s"
"Order Total","Totale Ordine"
"Lifetime Sales","Totale Vendite"
"All countries","Tutte le nazioni"
"All Store Views","Tutte le Viste Negozio"
"All","Tutto"
"Additional Address Entries","Ulteriori Indirizzi"
"Last Activity","Ultima attivit&agrave;"
"Last 5 Orders","Ultimi 5 Ordini"
"Last Viewed Items","Ultimi Articoli Visti"
"Last Url","Ultimo Url"
"Use as My Primary %s Address","Usa come Indirizzo %s Principale"
"Invalid login or password","Utente o password non validi"
"Use as my default billing address","Utilizza come indirizzo di fatturazione principale"
"Use as my default shipping address","Utilizza come indirizzo di spedizione default"
"Go to Address Book","Vai alla Rubrica"
"View Order","Vedi Ordine"
"Street Address","Via"
"Street Address 2","Via 2"
"Visible In","Visibile In"
"Visitor","Visitatore"
"Customer View","Vista Cliente"
"Store View","Vista Negozio"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d articolo(i)"
"XML","XML"
"ZIP","ZIP"
"ZIP/Post Code","ZIP/Codice Posta"
"ZIP/Postal Code","ZIP/Codice Postale"
"Zip/Postal Code","ZIP/Codice Postale"
