"Add New Row","Yeni Satır Ekle"
"Can\'t connect to remote host, error: %s","Uzak sunucuya bağlanılamadı, hata : %s"
"Sorry, there was an error getting requested content","İstenen içeriğin alınması esnasında bir hata oluştu"
"--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"You have not purchased any downloadable products yet.","Hiç indirilebilir ürün satın almadınız."
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Availability:","Stok durumu :"
"Catalog Product View (Downloadable)","Katalog Ürün Görünümü (İndirilebilir)"
"Customer My Account Downloadable Items","Müşteri Hesabım İndirilebilir Ürünler"
"In stock","Stokta VAR"
"Move to Wishlist","Takip Listeme Ekle"
"Out of stock","Stokta YOK"
"Qty","Adet"
"Remove Item","Ürünü Sil"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanümerik karakterler, nokta ve alt çizgi dosya adları için tavsiye edilen karakterlerdir. Bu kurala uygun olmayan karakterler \'_\' ile değiştirilecektir."
"An error occurred while getting requested content. Please contact the store owner.","İstenen içeriği almaya çalışırken sorun oluştu. Lütfen site yönetimi ile irtibata geçiniz."
"An error occurred while getting the requested content.","İstenen içeriği almaya çalışırken sorun oluştu."
"An error occurred while getting the requested content. Please contact the store owner.","İstenen içeriği almaya çalışırken sorun oluştu. Lütfen site yönetimi ile irtibata geçiniz."
"Cannot connect to remote host, error: %s.","Uzak sunucuya bağlanılamadı, oluşan hata : %s."
"Disable Guest Checkout if Cart Contains Downloadable Items","Eğer sepette İndirilebilir Ürün ( dosya vs. ) varsa misafir olarak alışverişi tamamlamaya izin verme"
"Guest checkout will only work with shareable.","Misafir olarak alışverişi bitirme sadece paylaşılanlarda çalışır."
"Invalid download URL host.","Dosya indirme bağlantısında hatalı sunucu adı."
"Invalid download URL scheme.","Dosya indirme bağlantısında hatalı adres şekli."
"Invalid download link type.","Dosya indirme bağlantısında hatalı adres tipi."
"Order Item Status to Enable Downloads","İndirmeye izin vermek için Sipariş satırı durumu"
"Please set resource file and link type.","Lütfen kaynak dosya ve bağlantı tipini ayarlayınız."
"Requested link does not exist.","İstenen bağlantı adresine ulaşılamadı."
"The file does not exist.","Dosya bulunamadı."
"The link has expired.","Bağlantının kullanım süresi doldu."
"The link is not available.","Bağlantı kaydı bulunamadı."
"Use Content-Disposition","Content-Disposition Kullan"
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.5.0.0-rc2 2011-02-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Edit","Düzelt"
"Edit item parameters","Kayıt parametrelerini düzenle"
"--------------- v 1.5.0.0-rc2 2011-02-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
